拜祖师	Venerar os Ancestrais
玄机神视秘要	Xuan Ji Shen Shi Mi Yao
归真鲸吞要诀	Gui Zhen Jing Tun Yao Jue
天魔解体大法	Tian Mo Jie Ti Da Fa
炼制灵石之术	Lian Zhi Ling Shi Zhi Zhu
玄机流光真言	Xuan Ji Liu Guang Zhen Yan
金丹流光	Jin Dan Liu Guang
迅影	Xun Ying
混元秘法	Hun Yuan Mi Fa
寒月坤元决	Han Yue Kun Yuan Jue
五戒千钧剑诀	Wu Jie Qian Jun Jian Jue
彻法混元十式	Che Fa Hun Yuan Shi Shi
多宝通卷	Duo Bao Tong Juan
百炼秘要	Bai Lian Mi Yao
饕餮	Tao Tie
龙虎鬼手通卷	Long Hu Gui Shou Tong Juan
真丹多宝	Zhen Dan Duo Bao
三才多宝纲要	San Cai Duo Bao Gang Yao
六气圆转十三式	Treze Formas da Rotação Circular das Seis Energias
献祭	Oferenda de sacrifício
精火筑灵	Jing Huo Zhu Ling
逆浪天星咒	Ni Lang Tian Xing Zhou
少林金刚神雷	Shao Lin Jin Gang Shen Lei
金刚	Jin Gang
奠基要诀	Dian Ji Yao Jue
修蛇金刚宝典	Xiu She Jin Gang Bao Dian
五内奠基宝典	Wu Nei Dian Ji Bao Dian
知节奠基经	Zhi Jie Dian Ji Jing
万源归真金刚宝典	Códice Vajra do Retorno à Verdade das Dez Mil Fontes
南海奠基	Nan Hai Dian Ji
紫薇金刚密卷	Zi Wei Jin Gang Mi Juan
凌霄奠基秘要	Ling Xiao Dian Ji Mi Yao
百汇奠基秘法	Bai Hui Dian Ji Mi Fa
沃野丹方	Wo Ye Dan Fang
星辰合一册	Xing Chen He Yi Ce
壬水合一书	Ren Shui He Yi Shu
凌霄合一册	Ling Xiao He Yi Ce
逆浪清心神功	Ni Lang Qing Xin Shen Gong
文盛真人摄神册	Livro de Captura da Mente do Mestre Verdadeiro Wen Sheng
百汇佛心	Bai Hui Fo Xin
大衍神算	Cálculo derivativo
分神之术	Fen Shen Zhi Zhu
庚金决意秘传	Geng Jin Jue Yi Mi Chuan
赤日三花诀	Chi Ri San Hua Jue
奠基密卷	Dian Ji Mi Juan
天金金刚经	Tian Jin Jin Gang Jing
玄金金刚秘要	Xuan Jin Jin Gang Mi Yao
龙虎金刚	Long Hu Jin Gang
勾陈奠基	Gou Chen Dian Ji
百草阁金刚秘法	Arte Secreta Vajra do Pavilhão das Cem Ervas
饕餮纪要	Tao Tie Ji Yao
多宝	Duo Bao
阴阳鬼手秘传	Yin Yang Gui Shou Mi Chuan
金雷鬼手宝典	Jin Lei Gui Shou Bao Dian
寒月百炼通卷	Han Yue Bai Lian Tong Juan
炎神殿鬼手纲要	Compêndio da Mão Fantasma do Salão do Deus das Chamas
御气万古秘要	Yu Qi Mo Gu Mi Yao
阴阳神佑秘要	Yin Yang Shen You Mi Yao
魂体寄生	Hun Ti Ji Sheng
武当佛心典	Wu Dang Fo Xin Dian
星辰五方	Xing Chen Wu Fang
陨星诀	Yun Xing Jue
逆浪不坏真言	Ni Lang Bu Pi Zhen Yan
曳影七式	Yi Ying Qi Shi
归祖要诀	Gui Zu Yao Jue
勾陈气摄秘法	Gou Chen Qi She Mi Fa
壬癸神佑	Ren Gui Shen You
凝光鬼手宝典	Ning Guang Gui Shou Bao Dian
惊波百炼宝册	Liang Bo Bai Lian Bao Ce
修蛇归祖密卷	Xiu She Gui Zu Mi Juan
玄武神视纪要	Xuan Wu Shen Shi Ji Yao
冷月急诵秘法	Leng Yue Ji Song Mi Fa
腾岳覆天	Teng Yue Fu Tian
破灭	Po Mie
破灭密卷	Po Mie Mi Juan
气摄宝典	Qi She Bao Dian
勾陈决意要诀	Gou Chen Jue Yi Yao Jue
彻法归祖秘要	Che Fa Gui Zu Mi Yao
华山万古神功	Hua Shan Mo Gu Shen Gong
伐毛洗髓之术	Fa Mao Xi Sui Zhi Zhu
彻法不朽	Che Fa Bu Xiu
化形金刚神雷	Hua Xing Jin Gang Shen Lei
奠基秘册	Dian Ji Mi Ce
长生金刚秘要	Chang Sheng Jin Gang Mi Yao
黄庭金刚秘法	Huang Ting Jin Gang Mi Fa
新境奠基经	Xin Jing Dian Ji Jing
少林金刚经	Shao Lin Jin Gang Jing
大日奠基秘要	Da Ri Dian Ji Mi Yao
佛心秘法	Fo Xin Mi Fa
合一秘要	He Yi Mi Yao
长生通慧记	Chang Sheng Tong Hui Ji
南海佛心典	Nan Hai Fo Xin Dian
玄关神农	Xuan Guan Shen Nong
断岳鲸吞秘要	Duan Yue Jing Tun Mi Yao
化形神佑典	Hua Xing Shen You Dian
太乙清心经	Tai Yi Qing Xin Jing
托体同山诀	Tuo Ti Tong Shan Jue
西海九极咒	Xi Hai Jiu Ji Zhou
咒神宝典	Zhou Shen Bao Dian
崩天卷	Beng Tian Juan
多宝秘传	Duo Bao Mi Chuan
多宝宝册	Duo Bao Bao Ce
天金摄神册	Tian Jin She Shen Ce
未来星宿百炼秘传	Tradição Secreta das Cem Refinações das Constelações do Futuro
辛金百炼秘传	Xin Jin Bai Lian Mi Chuan
断岳多宝宝册	Duan Yue Duo Bao Bao Ce
玄机多宝	Xuan Ji Duo Bao
天魔化身术	Tian Mo Hua Shen Zhu
开天眼之术	Kai Tian Yan Zhi Zhu
通符书	Tong Fu Shu
云气汇流	Yun Qi Hui Liu
剑符录	Jian Fu Lu
玄符录	Xuan Fu Lu
天甲符	Tian Jia Fu
咒符录	Zhou Fu Lu
神咒符	Shen Zhou Fu
结云经	Jie Yun Jing
祈天经	Qi Tian Jing
通天符法	Tong Tian Fu Fa
天真论	Tian Zhen Lun
无上神符	Wu Shang Shen Fu
借天符	Jie Tian Fu
遮天符	Zhe Tian Fu
云行法	Yun Xing Fa
东木分神书	Dong Mu Fen Shen Shu
天岭金刚真言	Tian Ling Jin Gang Zhen Yan
戊土八极真言	Wu Tu Ba Ji Zhen Yan
归家五方诀	Gui Jia Wu Fang Jue
坤元九极神雷	Kun Yuan Jiu Ji Shen Lei
千钧十三式	Qian Jun Shi San Shi
曳影式	Yi Ying Shi
破灭要诀	Po Mie Yao Jue
神农宝典	Shen Nong Bao Dian
摄神	She Shen
万里多宝	Mo Li Duo Bao
五内琢玉通卷	Wu Nei Zhuo Yu Tong Juan
凌霄佛心要诀	Ling Xiao Fo Xin Yao Jue
己土辟谷要诀	Ji Tu Pi Gu Yao Jue
炎神殿通慧要诀	Essenciais da Sabedoria Penetrante do Salão do Deus das Chamas
东海神佑要诀	Dong Hai Shen You Yao Jue
风月幻境	Feng Yue Huan Jing
真丹金刚	Zhen Dan Jin Gang
长生陨星诀	Chang Sheng Yun Xing Jue
崩天	Beng Tian
急诵秘要	Ji Song Mi Yao
崩天秘诀	Beng Tian Mi Jue
华山归藏密卷	Hua Shan Gui Cang Mi Juan
摄神册	She Shen Ce
入道鬼手要诀	Ru Dao Gui Shou Yao Jue
多宝神农	Duo Bao Shen Nong
造化饕餮神功	Zao Hua Tao Tie Shen Gong
戊己神佑要诀	Wu Ji Shen You Yao Jue
五印刻神	Wu Yin Ke Shen
行疆神视秘传	Xing Jiang Shen Shi Mi Chuan
知节金刚咒	Zhi Jie Jin Gang Zhou
现在贤流光真言	Mantra do Brilho Fluente do Presente Sábio
戊土金刚咒	Wu Tu Jin Gang Zhou
急诵	Ji Song
咒神九卷	Zhou Shen Jiu Juan
归祖	Gui Zu
通慧册	Tong Hui Ce
琢玉通卷	Zhuo Yu Tong Juan
行疆佛心典	Xing Jiang Fo Xin Dian
东华多宝秘传	Dong Hua Duo Bao Mi Chuan
和春枫真人神佑典	Códice da Bênção Divina do Mestre Verdadeiro He Chunfeng
玄关合一秘法	Xuan Guan He Yi Mi Fa
真丹佛心册	Zhen Dan Fo Xin Ce
镇岳鬼手纲要	Zhen Yue Gui Shou Gang Yao
六气饕餮神功	Liu Qi Tao Tie Shen Gong
驱云诀	Qu Yun Jue
行疆陨星咒	Xing Jiang Yun Xing Zhou
阴阳天星咒	Yin Yang Tian Xing Zhou
化影神雷	Hua Ying Shen Lei
迅击要诀	Xun Ji Yao Jue
迅影宝典	Xun Ying Bao Dian
迅击决	Xun Ji Jue
千钧密卷	Qian Jun Mi Juan
西海混元	Xi Hai Hun Yuan
神视秘法	Shen Shi Mi Fa
麒麟归祖	Qi Lin Gui Zu
现在贤清心要诀	Essenciais do Coração Sereno do Presente Sábio
戊己合一要诀	Wu Ji He Yi Yao Jue
长生决意	Chang Sheng Jue Yi
班谷云真人奠基经	Escritura da Fundação do Mestre Verdadeiro Ban Guyun
焚风术	Fen Feng Zhu
杀意	Sha Yi
御剑术	Yu Jian Zhu
天妖化血术	Tian Yao Hua Xie Zhu
七杀魔体	Qi Sha Mo Ti
剑心通明	Jian Xin Tong Ming
心剑交感	Xin Jian Jiao Gan
击字诀	Ji Zi Jue
崩字诀	Beng Zi Jue
御字诀	Yu Zi Jue
刺字诀	Ci Zi Jue
点字诀	Dian Zi Jue
化字诀	Hua Zi Jue
洗字诀	Xi Zi Jue
劈字诀	Pi Zi Jue
分字诀	Fen Zi Jue
摄神御鬼大法	She Shen Yu Gui Da Fa
神御剑	Shen Yu Jian
神合剑	Shen He Jian
魔流剑意	Mo Liu Jian Yi
剑灵	Jian Ling
秘宝：百灵斩仙剑	Tesouro Secreto: Espada Corta-Imortais dos Cem Espíritos
极剑·一	Espada Extrema I
极剑·二	Espada Extrema II
极剑·三	Espada Extrema III
我剑·一	Minha Espada I
我剑·二	Minha Espada II
我剑·三	Minha Espada III
勾陈覆灭诀	Gou Chen Fu Mie Jue
碧光天星真言	Bi Guang Tian Xing Zhen Yan
新境金刚神雷	Xin Jing Jin Gang Shen Lei
归藏卷	Gui Cang Juan
咒神密卷	Zhou Shen Mi Juan
妙手	Miao Shou
咒神七签	Zhou Shen Qi Qian
苍木崩天九卷	Cang Mu Beng Tian Jiu Juan
龙虎沃野药典	Long Hu Wo Ye Yao Dian
气摄神功	Qi She Shen Gong
妙手丹方	Miao Shou Dan Fang
甲乙多宝秘法	Jia Yi Duo Bao Mi Fa
苍木百炼通卷	Cang Mu Bai Lian Tong Juan
万木饕餮秘法	Mo Mu Tao Tie Mi Fa
寒月妙手	Han Yue Miao Shou
少林多宝	Shao Lin Duo Bao
忘情归祖秘要	Wang Qing Gui Zu Mi Yao
勾陈琢玉秘要	Gou Chen Zhuo Yu Mi Yao
金丹不坏真言	Jin Dan Bu Pi Zhen Yan
碧光心光咒	Bi Guang Xin Guang Zhou
蓄神要诀	Xu Shen Yao Jue
迅影十式	Xun Ying Shi Shi
坤元要诀	Kun Yuan Yao Jue
紫云宫破灭决	Zi Yun Gong Po Mie Jue
过去庄严迅击宝典	Códice do Golpe Rápido do Passado Solene
青龙破灭十式	Qing Long Po Mie Shi Shi
琢玉宝册	Zhuo Yu Bao Ce
多宝要诀	Duo Bao Yao Jue
青龙多宝通卷	Qing Long Duo Bao Tong Juan
苍木多宝通卷	Cang Mu Duo Bao Tong Juan
玄机百炼宝册	Xuan Ji Bai Lian Bao Ce
苍莽百炼秘传	Cang Mang Bai Lian Mi Chuan
甲乙百炼秘法	Jia Yi Bai Lian Mi Fa
过去庄严辟谷纪要	Resumo do Jejum de Grãos do Passado Solene
灵犀咒	Ling Xi Zhou
嵩山流光	Song Shan Liu Guang
太乙不朽诀	Tai Yi Bu Xiu Jue
彻法天星神雷	Che Fa Tian Xing Shen Lei
入道心光	Ru Dao Xin Guang
迅影秘诀	Xun Ying Mi Jue
蓄神剑	Xu Shen Jian
圆转宝典	Yuan Zhuan Bao Dian
修蛇破灭七式	Xiu She Po Mie Qi Shi
百汇混元秘法	Bai Hui Hun Yuan Mi Fa
黄庭混元	Huang Ting Hun Yuan
五戒千钧七式	Wu Jie Qian Jun Qi Shi
大日曳影秘要	Da Ri Yi Ying Mi Yao
彻法咒神七签	Che Fa Zhou Shen Qi Qian
归祖秘传	Gui Zu Mi Chuan
鬼手秘传	Gui Shou Mi Chuan
黄庭鬼手秘传	Huang Ting Gui Shou Mi Chuan
初解鲸吞神功	Chu Jie Jing Tun Shen Gong
修蛇琢玉通卷	Xiu She Zhuo Yu Tong Juan
耿雅柔上仙沃野丹方	Receita de Elixir das Terras Férteis da Imortal Geng Yarou
惊波决意神功	Liang Bo Jue Yi Shen Gong
玄机金钟咒	Xuan Ji Jin Zhong Zhou
过去庄严落花咒	Feitiço das Flores Caídas do Passado Solene
迅击密卷	Xun Ji Mi Juan
圆转剑诀	Yuan Zhuan Jian Jue
坤元十三式	Kun Yuan Shi San Shi
混元七式	Hun Yuan Qi Shi
炽凰破灭十三式	Treze Formas da Ruína da Fênix Ardente
紫云宫迅影十式	Dez Formas da Sombra Veloz do Palácio da Nuvem Púrpura
真丹破灭宝典	Zhen Dan Po Mie Bao Dian
赤炎蓄神剑	Chi Yan Xu Shen Jian
神视秘传	Shen Shi Mi Chuan
合一册	He Yi Ce
赤月神农通卷	Chi Yue Shen Nong Tong Juan
丙丁通慧书	Bing Ding Tong Hui Shu
朱雀摄神记	Zhu Que She Shen Ji
炽凰摄神宝典	Chi Huang She Shen Bao Dian
御气佛心记	Yu Qi Fo Xin Ji
御气佛心书	Yu Qi Fo Xin Shu
东华琢玉密卷	Dong Hua Zhuo Yu Mi Juan
邓妍真人合一典	Códice da Unificação do Mestre Verdadeiro Deng Yan
六壬神算	Previsão astrológica
八门玄金天劫剑阵	Formação de Espadas da Tribulação Celestial do Ouro Arcano das Oito Portas
未命名配置	Configuração sem nome
一字长蛇阵	Yi Zi Chang She Zhen
传闻此阵以八门之理成阵，进可杀伐，退可护身，非常玄妙。	Dizem que esta formação é baseada nos princípios dos Oito Portões: pode atacar e exterminar, ou recuar para se proteger — extremamente misteriosa。
成阵	Formação concluída
