拜祖师	Culto aos Ancestrais
戊己合一要诀	Essência da União Wu-Ji
长生决意	Determinação da Longevidade
班谷云真人奠基经	Sutra da Fundação do Mestre Ban Guyun
焚风术	Técnica do Vento Abrasador
杀意	Intenção Assassina
御剑术	Técnica de Controle da Espada
天妖化血术	Técnica Demoníaca Celestial de Transformação do Sangue
七杀魔体	Corpo Demoníaco das Sete Mortes
剑心通明	Clareza Espiritual da Espada
心剑交感	Ressonância da Espada do Coração
击字诀	Técnica do Caractere "Golpe"
崩字诀	Técnica do Caractere "Colapso"
御字诀	Técnica do Caractere "Controle"
刺字诀	Técnica do Caractere "Espetar"
点字诀	Técnica do Caractere "Marcar"
化字诀	Técnica do Caractere "Transformar"
洗字诀	Técnica do Caractere "Purificar"
劈字诀	Técnica do Caractere "Rachar"
分字诀	Técnica do Caractere "Dividir"
摄神御鬼大法	Grande Arte da Captura Espiritual e Controle dos Espíritos
神御剑	Espada Controlada pelos Deuses
神合剑	Espada da União Divina
魔流剑意	Intenção Espiritual da Espada Demoníaca
剑灵	Espírito da Espada
秘宝：百灵斩仙剑	Tesouro Secreto: Espada Celestial Cortante das Cem Almas
极剑·一	Espada Suprema · Um
极剑·二	Espada Suprema · Dois
极剑·三	Espada Suprema · Três
我剑·一	Minha Espada · Um
我剑·二	Minha Espada · Dois
我剑·三	Minha Espada · Três
勾陈覆灭诀	Técnica da Aniquilação de Gouchen
碧光天星真言	Mantra da Estrela Celestial da Luz Verde
新境金刚神雷	Trovão Divino Adamantino do Novo Reino
归藏卷	Rolo do Recolhimento
咒神密卷	Rolo Secreto dos Feitiços Divinos
妙手	Mãos Habilidosas
咒神七签	Sete Sortes dos Feitiços Divinos
苍木崩天九卷	Nove Rolos do Colapso Celestial da Madeira Azul
龙虎沃野药典	Compêndio Medicinal dos Dragões e Tigres dos Campos Férteis
气摄神功	Arte Divina de Captura de Qi
妙手丹方	Fórmula Alquímica das Mãos Habilidosas
甲乙多宝秘法	Arte Secreta dos Múltiplos Tesouros Jia-Yi
苍木百炼通卷	Tomo Completo das Cem Refinagens da Madeira Azul
万木饕餮秘法	Arte Secreta Devoradora das Dez Mil Árvores
寒月妙手	Mãos Habilidosas da Lua Fria
少林多宝	Múltiplos Tesouros de Shaolin
忘情归祖秘要	Segredo do Retorno Ancestral da Indiferença
勾陈琢玉秘要	Segredo da Lapidação de Jade de Gouchen
金丹不坏真言	Mantra Indestrutível do Dan Dourado
碧光心光咒	Feitiço da Luz do Coração Verde
蓄神要诀	Essência da Acumulação Espiritual
迅影十式	Dez Estilos da Sombra Rápida
坤元要诀	Essência de Kun Yuan
紫云宫破灭决	Técnica da Destruição do Palácio da Nuvem Púrpura
过去庄严迅击宝典	Grande Tomo do Golpe Rápido da Era Passada e Solene
青龙破灭十式	Dez Estilos da Destruição do Dragão Azul
琢玉宝册	Compêndio do Jade Lapidado
多宝要诀	Essência dos Múltiplos Tesouros
青龙多宝通卷	Tomo Completo dos Múltiplos Tesouros do Dragão Azul
苍木多宝通卷	Tomo Completo dos Múltiplos Tesouros da Madeira Azul
玄机百炼宝册	Compêndio das Cem Refinagens do Mistério Profundo
苍莽百炼秘传	Transmissão Secreta das Cem Refinagens da Vastidão Verde
甲乙百炼秘法	Arte Secreta das Cem Refinagens Jia-Yi
过去庄严辟谷纪要	Resumo da Abstinência Alimentar da Era Passada e Solene
灵犀咒	Feitiço da Conexão Espiritual
嵩山流光	Brilho Fluido de Songshan
太乙不朽诀	Técnica Imortal Taiyi
彻法天星神雷	Trovão Divino da Estrela Celestial da Lei Perfeita
入道心光	Luz do Coração do Caminho Daoísta
迅影秘诀	Segredo da Sombra Rápida
蓄神剑	Espada da Acumulação Espiritual
圆转宝典	Grande Tomo da Rotação Circular
修蛇破灭七式	Sete Estilos da Destruição da Serpente Cultivada
百汇混元秘法	Arte Secreta da Essência Primordial Baihui
黄庭混元	Essência Primordial do Pátio Amarelo
五戒千钧七式	Sete Estilos das Cinco Abstinências e Mil Toneladas
大日曳影秘要	Segredo da Sombra Flutuante do Grande Sol
彻法咒神七签	Sete Sortes dos Feitiços Divinos da Lei Perfeita
归祖秘传	Transmissão Secreta do Retorno Ancestral
鬼手秘传	Transmissão Secreta da Mão Fantasma
黄庭鬼手秘传	Transmissão Secreta da Mão Fantasma do Pátio Amarelo
初解鲸吞神功	Primeira Compreensão da Arte Divina da Engolidora de Baleias
修蛇琢玉通卷	Tomo Completo da Lapidação de Jade da Serpente Cultivada
耿雅柔上仙沃野丹方	Fórmula Alquímica dos Campos Férteis da Imortal Geng Yaru
惊波决意神功	Arte Divina da Determinação da Onda Assustadora
玄机金钟咒	Feitiço do Sino Dourado do Mistério Profundo
过去庄严落花咒	Feitiço das Flores Caídas da Era Passada e Solene
迅击密卷	Rolo Secreto do Golpe Rápido
圆转剑诀	Técnica da Espada da Rotação Circular
坤元十三式	Treze Estilos de Kun Yuan
混元七式	Sete Estilos da Essência Primordial
炽凰破灭十三式	Treze Estilos da Destruição da Fênix Ardente
紫云宫迅影十式	Dez Estilos da Sombra Rápida do Palácio da Nuvem Púrpura
真丹破灭宝典	Grande Tomo da Destruição do Verdadeiro Dan
赤炎蓄神剑	Espada da Acumulação Espiritual da Chama Escarlate
神视秘传	Transmissão Secreta da Visão Divina
合一册	Compêndio da União
赤月神农通卷	Tomo Completo do Divino Agricultor da Lua Escarlate
丙丁通慧书	Livro da Sabedoria Bing-Ding
朱雀摄神记	Registro da Captura Espiritual do Pássaro Vermelho
炽凰摄神宝典	Grande Tomo da Captura Espiritual da Fênix Ardente
御气佛心记	Registro do Coração de Buda Controlando o Qi
御气佛心书	Livro do Coração de Buda Controlando o Qi
东华琢玉密卷	Rolo Secreto da Lapidação de Jade de Donghua
邓妍真人合一典	Clássico da União do Mestre Deng Yan
六壬神算	Previsão Astrológica
八门玄金天劫剑阵	Formação da Espada Celestial da Tribulação de Ouro Misterioso das Oito Portas
未命名配置	Configuração Sem Nome
一字长蛇阵	Formação da Serpente Longa em Linha
传闻此阵以八门之理成阵，进可杀伐，退可护身，非常玄妙。	Diz-se que essa formação se baseia nos princípios das Oito Portas, permitindo avançar para matar ou recuar para se proteger, sendo extremamente misteriosa.
成阵	Formação Completa
