拜祖师	Venerando os ancestrais
归祖	Retorno ao Ancestral
通慧册	Registro de Sabedoria Ampla
琢玉通卷	Compêndio Completo de Polir Jade
行疆佛心典	Cânone do Coração de Buda de Xingjiang
东华多宝秘传	Ensinamento Secreto de Duobao de Donghua
和春枫真人神佑典	Cânone da Proteção Divina do Verdadeiro He Chunfeng
玄关合一秘法	Técnica Secreta de Unificação do Portal Místico
真丹佛心册	Registro do Coração de Buda do Verdadeiro Elixir
镇岳鬼手纲要	Esboço da Mão Fantasma de Zhenyue
六气饕餮神功	Arte Divina do Taotie das Seis Energias
驱云诀	Arte de Dispersar Nuvens
行疆陨星咒	Mantra da Estrela Cadente de Xingjiang
阴阳天星咒	Mantra da Estrela Celestial do Yin-Yang
化影神雷	Trovão Divino de Transformar Sombras
迅击要诀	Instrução Essencial de Ataque Veloz
迅影宝典	Manual da Sombra Veloz
迅击决	Arte do Ataque Veloz
千钧密卷	Pergaminho Secreto de Mil-Jin
西海混元	Caos Primordial do Mar do Oeste
神视秘法	Técnica Secreta da Visão Espiritual
麒麟归祖	Retorno ao Ancestral de Qilin
现在贤清心要诀	Instrução Essencial de Purificar a Mente do Sábio Atual
戊己合一要诀	Instrução Essencial de Unificação de Wu-Ji
长生决意	Determinação da Longevidade
班谷云真人奠基经	Escritura de Fundação do Verdadeiro Ban Guyun
焚风术	Técnica do Vento Incinerante
杀意	Intenção Assassina
御剑术	Técnica de Controlar Espadas
天妖化血术	Técnica de Transformar Sangue do Demônio Celestial
七杀魔体	Corpo Demoníaco dos Sete Abates
剑心通明	Coração de Espada Claro e Luminoso
心剑交感	Ressonância Entre Coração e Espada
击字诀	Arte do Caractere “Golpe”
崩字诀	Arte do Caractere “Colapso”
御字诀	Arte do Caractere “Controle”
刺字诀	Arte do Caractere “Estocada”
点字诀	Arte do Caractere “Toque”
化字诀	Arte do Caractere “Transformar”
洗字诀	Arte do Caractere “Purificar”
劈字诀	Arte do Caractere “Cortar”
分字诀	Arte do Caractere “Dividir”
摄神御鬼大法	Grande Técnica de Capturar a Alma e Controlar Fantasmas
神御剑	Espada do Controle Divino
神合剑	Espada da União Divina
魔流剑意	Intenção de Espada do Fluxo Demoníaco
剑灵	Espírito da Espada
秘宝：百灵斩仙剑	Tesouro Secreto: Espada de Cem Espíritos que Corta Imortais
极剑·一	Espada Suprema · I
极剑·二	Espada Suprema · II
极剑·三	Espada Suprema · III
我剑·一	Minha Espada · I
我剑·二	Minha Espada · II
我剑·三	Minha Espada · III
勾陈覆灭诀	Arte de Aniquilação de Gouchen
碧光天星真言	Verdadeiro Mantra da Estrela Celestial de Luz Opalescente
新境金刚神雷	Trovão Divino Vajra do Novo Reino
归藏卷	Pergaminho do Retorno e Ocultação
咒神密卷	Pergaminho Secreto do Deus dos Mantras
妙手	Mãos Habilidosas
咒神七签	Sete Selos do Deus dos Mantras
苍木崩天九卷	Nove Pergaminhos do Colapso do Céu da Madeira Verdejante
龙虎沃野药典	Cânone de Medicina das Terras Férteis do Dragão e Tigre
气摄神功	Arte Divina de Absorção de Qi
妙手丹方	Receituário de Elixires das Mãos Habilidosas
甲乙多宝秘法	Técnica Secreta de Duobao de Jia-Yi
苍木百炼通卷	Compêndio Completo das Cem Refinações da Madeira Verdejante
万木饕餮秘法	Técnica Secreta do Taotie das Dez Mil Madeiras
寒月妙手	Mãos Habilidosas da Lua Fria
少林多宝	Duobao de Shaolin
忘情归祖秘要	Segredos Essenciais de Retorno ao Ancestral do Esquecimento das Emoções
勾陈琢玉秘要	Segredos Essenciais de Polir Jade de Gouchen
金丹不坏真言	Verdadeiro Mantra da Indestrutibilidade do Núcleo Dourado
碧光心光咒	Mantra da Luz do Coração Opalescente
蓄神要诀	Instrução Essencial de Armazenar Espírito
迅影十式	Dez Formas da Sombra Veloz
坤元要诀	Instrução Essencial do Caos Terreno
紫云宫破灭决	Arte da Ruína do Palácio da Nuvem Violeta
过去庄严迅击宝典	Manual do Ataque Veloz da Solenidade do Passado
青龙破灭十式	Dez Formas de Ruína do Dragão Azure
琢玉宝册	Grimório de Tesouros de Polir Jade
多宝要诀	Instrução Essencial de Duobao
青龙多宝通卷	Compêndio Completo de Duobao do Dragão Azure
苍木多宝通卷	Compêndio Completo de Duobao da Madeira Verdejante
玄机百炼宝册	Grimório de Tesouros das Cem Refinações do Mistério Profundo
苍莽百炼秘传	Ensinamento Secreto das Cem Refinações do Ermo Vastíssimo
甲乙百炼秘法	Técnica Secreta das Cem Refinações de Jia-Yi
过去庄严辟谷纪要	Resumo de Bigu da Solenidade do Passado
灵犀咒	Mantra da Conexão Espiritual
嵩山流光	Brilho Fluente de Songshan
太乙不朽诀	Arte da Imortalidade de Taiyi
彻法天星神雷	Trovão Divino da Estrela Celestial da Lei Completa
入道心光	Luz do Coração para Entrar no Dao
迅影秘诀	Segredo da Sombra Veloz
蓄神剑	Espada de Armazenar Espírito
圆转宝典	Manual do Giro Circular
修蛇破灭七式	Sete Formas de Ruína da Serpente Xiu
百汇混元秘法	Técnica Secreta do Caos Primordial das Cem Convergências
黄庭混元	Caos Primordial do Pátio Amarelo
五戒千钧七式	Sete Formas de Mil-Jin dos Cinco Preceitos
大日曳影秘要	Segredos Essenciais do Rastro de Sombra do Grande Sol
彻法咒神七签	Sete Selos do Deus dos Mantras da Lei Completa
归祖秘传	Ensinamento Secreto de Retorno ao Ancestral
鬼手秘传	Ensinamento Secreto da Mão Fantasma
黄庭鬼手秘传	Ensinamento Secreto da Mão Fantasma do Pátio Amarelo
初解鲸吞神功	Arte Divina do Devorar-Baleia: Primeira Compreensão
修蛇琢玉通卷	Compêndio Completo de Polir Jade da Serpente Xiu
耿雅柔上仙沃野丹方	Receituário de Elixires das Terras Férteis do Imortal Geng Yarou
惊波决意神功	Arte Divina de Determinação da Onda Turbulenta
玄机金钟咒	Mantra do Sino Dourado do Mistério Profundo
过去庄严落花咒	Mantra da Queda de Flores da Solenidade do Passado
迅击密卷	Pergaminho Secreto do Ataque Veloz
圆转剑诀	Arte da Espada do Giro Circular
坤元十三式	Treze Formas do Caos Terreno
混元七式	Sete Formas do Caos Primordial
炽凰破灭十三式	Treze Formas de Ruína da Fênix Abrasadora
紫云宫迅影十式	Dez Formas da Sombra Veloz do Palácio da Nuvem Violeta
真丹破灭宝典	Manual da Ruína do Verdadeiro Elixir
赤炎蓄神剑	Espada de Armazenar Espírito de Chama Escarlate
神视秘传	Ensinamento Secreto da Visão Espiritual
合一册	Registro de Unificação
赤月神农通卷	Compêndio Completo de Shennong da Lua Rubra
丙丁通慧书	Escritura de Sabedoria Ampla de Bing-Ding
朱雀摄神记	Registro de Captura da Alma do Pássaro Vermelho
炽凰摄神宝典	Manual de Captura da Alma da Fênix Abrasadora
御气佛心记	Registro do Coração de Buda de Controle do Qi
御气佛心书	Escritura do Coração de Buda de Controle do Qi
东华琢玉密卷	Pergaminho Secreto de Polir Jade de Donghua
邓妍真人合一典	Cânone de Unificação do Verdadeiro Deng Yan
六壬神算	Previsão Astrológica
八门玄金天劫剑阵	Formação de Espadas da Tribulação Celestial do Metal Místico das Oito Portas
未命名配置	Configuração sem Nome
一字长蛇阵	Formação da Serpente Longa de Um Caractere
传闻此阵以八门之理成阵，进可杀伐，退可护身，非常玄妙。	Dizem que esta formação é construída com os princípios das Oito Portas; avançando, pode matar e atacar; recuando, pode proteger o corpo — é extremamente profunda e misteriosa.
成阵	Formar a Formação
