拜祖师	Culto aos Ancestrais
迅影宝典	Manual da Sombra Rápida
迅击决	Decisão do Golpe Rápido
千钧密卷	Pergaminho Secreto dos Mil Jun
西海混元	Mistura Primordial do Mar Ocidental
神视秘法	Técnica Secreta da Visão Divina
麒麟归祖	Retorno Ancestral do Qilin
现在贤清心要诀	Técnica de Coração Puro do Sábio Atual
戊己合一要诀	Técnica de União Wu-Ji
长生决意	Decisão da Longevidade
班谷云真人奠基经	Clássico Fundamental do Mestre Ban Gu Yun
焚风术	Técnica do Vento Ardente
杀意	Intenção de Matar
御剑术	Técnica de Controle da Espada
天妖化血术	Técnica de Transformação Sanguínea do Demônio Celestial
七杀魔体	Corpo Demoníaco dos Sete Assassinatos
剑心通明	Clareza de Coração de Espada
心剑交感	Sinergia de Coração e Espada
击字诀	Técnica do Golpe
崩字诀	Técnica da Ruptura
御字诀	Técnica de Controle
刺字诀	Técnica da Perfurada
点字诀	Técnica do Ponto
化字诀	Técnica da Transformação
洗字诀	Técnica da Purificação
劈字诀	Técnica do Corte
分字诀	Técnica da Separação
摄神御鬼大法	Grande Arte de Controle de Espíritos e Demônios
神御剑	Espada de Controle Divino
神合剑	Espada da União Divina
魔流剑意	Intenção da Espada do Fluxo Demoníaco
剑灵	Espírito da Espada
秘宝：百灵斩仙剑	Tesouro Secreto: Espada Celestial do Corte dos Cem Espíritos
极剑·一	Espada Extrema · Um
极剑·二	Espada Extrema · Dois
极剑·三	Espada Extrema · Três
我剑·一	Minha Espada · Um
我剑·二	Minha Espada · Dois
我剑·三	Minha Espada · Três
勾陈覆灭诀	Técnica de Destruição de Gou Chen
碧光天星真言	Mantra da Estrela Celestial da Luz Verde
新境金刚神雷	Trovão Divino do Novo Reino
归藏卷	Pergaminho de Retorno e Ocultação
咒神密卷	Pergaminho Secreto do Deus dos Feitiços
妙手	Mãos Habilidosas
咒神七签	Sete Selos do Deus dos Feitiços
苍木崩天九卷	Nove Pergaminhos da Ruptura Celestial da Madeira Azul
龙虎沃野药典	Códice de Remédios dos Campos Férteis do Dragão e do Tigre
气摄神功	Arte Divina de Controle do Qi
妙手丹方	Fórmula de Elixir das Mãos Habilidosas
甲乙多宝秘法	Técnica Secreta dos Muitos Tesouros de Jia e Yi
苍木百炼通卷	Pergaminho Completo das Cem Refinarias da Madeira Azul
万木饕餮秘法	Técnica Secreta do Glutão das Mil Madeiras
寒月妙手	Mãos Habilidosas da Lua Fria
少林多宝	Muitos Tesouros de Shaolin
忘情归祖秘要	Essência Secreta do Retorno Ancestral sem Emoções
勾陈琢玉秘要	Essência Secreta de Esculpir Jade de Gou Chen
金丹不坏真言	Mantra da Indestrutibilidade do Elixir Dourado
碧光心光咒	Feitiço da Luz do Coração de Luz Verde
蓄神要诀	Técnica de Acumulação de Energia
迅影十式	Dez Técnicas da Sombra Rápida
坤元要诀	Técnica de Kun Yuan
紫云宫破灭决	Técnica de Ruptura do Palácio da Nuvem Roxa
过去庄严迅击宝典	Manual do Golpe Rápido Solene do Passado
青龙破灭十式	Dez Técnicas de Ruptura do Dragão Azul
琢玉宝册	Manual de Esculpir Jade
多宝要诀	Técnica dos Muitos Tesouros
青龙多宝通卷	Pergaminho Completo dos Muitos Tesouros do Dragão Azul
苍木多宝通卷	Pergaminho Completo dos Muitos Tesouros da Madeira Azul
玄机百炼宝册	Manual das Cem Refinarias do Mistério Oculto
苍莽百炼秘传	Segredo das Cem Refinarias da Selva Azul
甲乙百炼秘法	Técnica Secreta das Cem Refinarias de Jia e Yi
过去庄严辟谷纪要	Resumo da Técnica de Jejum Solene do Passado
灵犀咒	Feitiço do Coração Conectado
嵩山流光	Luz Fluente do Monte Song
太乙不朽诀	Técnica da Imortalidade Tai Yi
彻法天星神雷	Trovão Divino da Estrela Celestial Suprema
入道心光	Luz do Coração de Entrada no Dao
迅影秘诀	Segredo da Sombra Rápida
蓄神剑	Espada da Acumulação de Energia
圆转宝典	Manual da Rotação Circular
修蛇破灭七式	Sete Técnicas de Ruptura da Serpente Cultivada
百汇混元秘法	Técnica Secreta da Mistura Primordial de Baihui
黄庭混元	Mistura Primordial de Huangting
五戒千钧七式	Sete Técnicas das Cinco Disciplinas dos Mil Jun
大日曳影秘要	Segredo da Sombra do Grande Sol
彻法咒神七签	Sete Selos do Deus dos Feitiços da Lei Suprema
归祖秘传	Segredo do Retorno Ancestral
鬼手秘传	Segredo da Mão Fantasma
黄庭鬼手秘传	Segredo da Mão Fantasma de Huangting
初解鲸吞神功	Primeira Técnica da Arte Divina de Devorar Baleias
修蛇琢玉通卷	Pergaminho Completo de Esculpir Jade da Serpente Cultivada
耿雅柔上仙沃野丹方	Fórmula de Elixir dos Campos Férteis da Imortal Superior Geng Yarou
惊波决意神功	Arte Divina da Decisão da Onda Chocante
玄机金钟咒	Feitiço do Sino de Mistérios Ocultos
过去庄严落花咒	Feitiço Solene das Flores Caídas do Passado
迅击密卷	Pergaminho Secreto do Golpe Rápido
圆转剑诀	Segredo da Espada de Rotação Circular
坤元十三式	Treze Técnicas de Kun Yuan
混元七式	Sete Técnicas da Mistura Primordial
炽凰破灭十三式	Treze Técnicas de Ruptura do Fênix Flamejante
紫云宫迅影十式	Dez Técnicas da Sombra Rápida do Palácio da Nuvem Roxa
真丹破灭宝典	Manual da Ruptura do Verdadeiro Elixir
赤炎蓄神剑	Espada da Acumulação Divina do Fogo Escarlate
神视秘传	Segredo da Visão Divina
合一册	Compêndio da União
赤月神农通卷	Pergaminho Completo de Shennong da Lua Escarlate
丙丁通慧书	Compêndio de Sabedoria de Bing e Ding
朱雀摄神记	Registros da Captura Divina da Fênix Vermelha
炽凰摄神宝典	Manual da Captura Divina do Fênix Flamejante
御气佛心记	Registro do Controle do Qi e do Coração Búdico
御气佛心书	Compêndio do Qi e do Coração Búdico
东华琢玉密卷	Pergaminho Secreto de Esculpir Jade de Donghua
邓妍真人合一典	Clássico da União do Mestre Deng Yan
六壬神算	Previsão Astrológica
八门玄金天劫剑阵	Formação da Espada do Tribulação Celestial de Oito Portas
未命名配置	Configuração Sem Título
一字长蛇阵	Formação da Serpente de Linha Única
传闻此阵以八门之理成阵，进可杀伐，退可护身，非常玄妙。	Diz-se que esta formação é feita com os princípios das Oito Portas, podendo atacar ao avançar e proteger ao recuar, extremamente misteriosa.
成阵	Formação Estabelecida
