拜祖师	Venerar os ancestrais
东华多宝秘传	Transmissão Secreta de Duobao de Donghua
和春枫真人神佑典	Cânone de Bênçãos Divinas do Mestre He Chunfeng
玄关合一秘法	Método Secreto de Unificação do Portal Misterioso
真丹佛心册	Registro do Coração de Buda do Verdadeiro Elixir
镇岳鬼手纲要	Princípios-Chave da Mão Fantasma Supressora de Montanha
六气饕餮神功	Arte Divina Taotie das Seis Energias
驱云诀	Arte de Dispersar Nuvens
行疆陨星咒	Encantamento da Estrela Cadente de Xingjiang
阴阳天星咒	Encantamento da Estrela Celestial Yin-Yang
化影神雷	Trovão Divino de Metamorfose das Sombras
迅击要诀	Essência do Golpe Veloz
迅影宝典	Compêndio da Sombra Veloz
迅击决	Arte do Golpe Veloz
千钧密卷	Pergaminho Secreto do Mil Jun
西海混元	Hunyuan do Mar do Oeste
神视秘法	Método Secreto de Visão Sagrada
麒麟归祖	Retorno ao Ancestral do Qilin
现在贤清心要诀	Essência de Purificar a Mente do Sábio Presente
戊己合一要诀	Essência da Unificação Wu-Ji
长生决意	Determinação da Longevidade
班谷云真人奠基经	Escritura de Fundação do Mestre Ban Guyun
焚风术	Técnica do Vento Ardente
杀意	Intenção Assassina
御剑术	Técnica de Controlar Espadas
天妖化血术	Técnica de Transformar Sangue do Demônio Celestial
七杀魔体	Corpo Demoníaco das Sete Mortes
剑心通明	Clareza do Coração da Espada
心剑交感	Ressonância entre Mente e Espada
击字诀	Arte do Caractere “Golpear”
崩字诀	Arte do Caractere “Despedaçar”
御字诀	Arte do Caractere “Controlar”
刺字诀	Arte do Caractere “Estocar”
点字诀	Arte do Caractere “Ponto”
化字诀	Arte do Caractere “Transformar”
洗字诀	Arte do Caractere “Lavar”
劈字诀	Arte do Caractere “Fender”
分字诀	Arte do Caractere “Dividir”
摄神御鬼大法	Grande Método de Capturar o Espírito e Controlar Fantasmas
神御剑	Espada de Controle Divino
神合剑	Espada de União Divina
魔流剑意	Intenção de Espada do Fluxo Demoníaco
剑灵	Espírito da Espada
秘宝：百灵斩仙剑	Tesouro Secreto: Espada Matadora de Imortais das Cem Almas
极剑·一	Espada Suprema · I
极剑·二	Espada Suprema · II
极剑·三	Espada Suprema · III
我剑·一	Minha Espada · I
我剑·二	Minha Espada · II
我剑·三	Minha Espada · III
勾陈覆灭诀	Arte de Aniquilação de Gouchen
碧光天星真言	Mantra da Estrela Celestial do Brilho Opalescente
新境金刚神雷	Trovão Divino Vajra do Novo Reino
归藏卷	Volume do Retorno ao Tesouro Oculto
咒神密卷	Pergaminho Secreto do Deus dos Encantamentos
妙手	Mãos Habilidosas
咒神七签	Sete Sortilégios do Deus dos Encantamentos
苍木崩天九卷	Nove Volumes de Despedaçar o Céu da Madeira Azul-Escura
龙虎沃野药典	Cânone de Medicamentos de Woye do Dragão e Tigre
气摄神功	Arte Divina de Captura do Qi
妙手丹方	Receitas de Elixir das Mãos Habilidosas
甲乙多宝秘法	Método Secreto de Duobao Jia-Yi
苍木百炼通卷	Compêndio Geral das Cem Refinações da Madeira Azul-Escura
万木饕餮秘法	Método Secreto Taotie das Dez Mil Madeiras
寒月妙手	Mãos Habilidosas da Lua Fria
少林多宝	Duobao de Shaolin
忘情归祖秘要	Segredos Essenciais do Retorno ao Ancestral do Esquecimento das Emoções
勾陈琢玉秘要	Segredos Essenciais de Lapidar Jade de Gouchen
金丹不坏真言	Mantra da Indestrutibilidade do Núcleo Dourado
碧光心光咒	Encantamento da Luz do Coração Opalescente
蓄神要诀	Essência de Acumular o Espírito
迅影十式	Dez Formas da Sombra Veloz
坤元要诀	Essência de Kun-Yuan
紫云宫破灭决	Arte da Ruína do Palácio da Nuvem Violeta
过去庄严迅击宝典	Compêndio do Golpe Veloz da Dignidade Passada
青龙破灭十式	Dez Formas de Ruína do Dragão Azure
琢玉宝册	Livro de Tesouros de Lapidar Jade
多宝要诀	Essência de Duobao
青龙多宝通卷	Compêndio Geral de Duobao do Dragão Azure
苍木多宝通卷	Compêndio Geral de Duobao da Madeira Azul-Escura
玄机百炼宝册	Livro de Tesouros das Cem Refinações de Xuanji
苍莽百炼秘传	Transmissão Secreta das Cem Refinações de Cangmang
甲乙百炼秘法	Método Secreto das Cem Refinações Jia-Yi
过去庄严辟谷纪要	Compêndio de Bìgǔ (Jejum de Grãos) da Dignidade Passada
灵犀咒	Encantamento de Sintonia Espiritual
嵩山流光	Brilho Fluente do Monte Song
太乙不朽诀	Arte da Imortalidade de Taiyi
彻法天星神雷	Trovão Divino da Estrela Celestial do Dharma Absoluto
入道心光	Luz do Coração ao Entrar no Dao
迅影秘诀	Segredo da Sombra Veloz
蓄神剑	Espada de Acumular o Espírito
圆转宝典	Compêndio de Rotação
修蛇破灭七式	Sete Formas de Ruína da Serpente Xiū
百汇混元秘法	Método Secreto de Hunyuan de Baihui
黄庭混元	Hunyuan de Huangting
五戒千钧七式	Sete Formas do Mil Jun dos Cinco Preceitos
大日曳影秘要	Segredos Essenciais de Arrastar Sombras do Grande Sol
彻法咒神七签	Sete Sortilégios do Deus dos Encantamentos do Dharma Absoluto
归祖秘传	Transmissão Secreta do Retorno ao Ancestral
鬼手秘传	Transmissão Secreta da Mão Fantasma
黄庭鬼手秘传	Transmissão Secreta da Mão Fantasma de Huangting
初解鲸吞神功	Arte Divina Inicial de Devorar como Baleia
修蛇琢玉通卷	Compêndio Geral de Lapidar Jade da Serpente Xiū
耿雅柔上仙沃野丹方	Receitas de Elixir de Woye da Imortal Geng Yarou
惊波决意神功	Arte Divina de Determinação da Onda Turquesa
玄机金钟咒	Encantamento do Sino Dourado de Xuanji
过去庄严落花咒	Encantamento das Flores Caindo da Dignidade Passada
迅击密卷	Pergaminho Secreto do Golpe Veloz
圆转剑诀	Arte da Espada de Rotação
坤元十三式	Treze Formas de Kun-Yuan
混元七式	Sete Formas de Hunyuan
炽凰破灭十三式	Treze Formas de Ruína da Fênix Abrasadora
紫云宫迅影十式	Dez Formas da Sombra Veloz do Palácio da Nuvem Violeta
真丹破灭宝典	Compêndio da Ruína do Verdadeiro Elixir
赤炎蓄神剑	Espada de Acumular o Espírito do Fogo Escarlate
神视秘传	Transmissão Secreta de Visão Sagrada
合一册	Registro de Unificação
赤月神农通卷	Compêndio Geral de Shennong da Lua Escarlate
丙丁通慧书	Livro de Sabedoria Abrangente Bing-Ding
朱雀摄神记	Registro de Captura do Espírito da Fênix Vermilion
炽凰摄神宝典	Compêndio de Captura do Espírito da Fênix Abrasadora
御气佛心记	Registro do Coração de Buda de Controle do Qi
御气佛心书	Livro do Coração de Buda de Controle do Qi
东华琢玉密卷	Pergaminho Secreto de Lapidar Jade de Donghua
邓妍真人合一典	Cânone de Unificação do Mestre Deng Yan
六壬神算	Previsão Astrológica
八门玄金天劫剑阵	Formação de Espadas da Tribulação Celestial do Ouro Profundo das Oito Portas
未命名配置	Configuração sem Nome
一字长蛇阵	Formação da Serpente Longa em Linha
传闻此阵以八门之理成阵，进可杀伐，退可护身，非常玄妙。	Dizem que esta formação é construída com os princípios das Oito Portas: ao avançar, pode aniquilar; ao recuar, pode proteger o corpo — extremamente misteriosa.
成阵	Formar a Formação
