拜祖师	Reverenciando os Ancestrais
据传百蛮山的大能蓟语山在稻香村出没。	Dizem que o grande poder Jiyushan, de Ba Man Shan, foi visto na Vila Daoxiang.
据传丹霞洞天的大能平坚在雪风原出没。	Dizem que o grande poder Pingjian, de Danxia Dongtian, foi visto nas Planícies de Neve e Vento.
据传正一道派中飞升的尊长突然降下大量恩赐，门派实力大涨。	Dizem que um ancião ascendido da Seita Zhengyi de repente concedeu grandes bênçãos; a força da seita aumentou muito.
据传正一道寻到一名上古器修的洞府，获得大量元神寄托的灵器，门派实力大涨。	Dizem que a Seita Zhengyi encontrou a morada de um antigo cultivador de artefatos e obteve muitos artefatos espirituais com almas vinculadas; a força da seita aumentou muito.
天苍246年 春 第13日	Ano Tian Cang 246, Primavera, Dia 13
据传七杀魔宫近日革新了门派律法，重新划分各个堂口，整个门派焕然一新。门派实力大增。	Dizem que o Palácio Demoníaco dos Sete Abates reformou recentemente as regras da seita e reorganizou seus salões; a seita inteira se renovou. A força da seita aumentou bastante.
据传昆仑宫派中祖师突然降下法身，为门派讲道。门派实力大增。	Dizem que o Patriarca do Palácio Kunlun manifestou um corpo de Dharma para pregar o Dao à seita. A força da seita aumentou bastante.
据传紫霄宗派中飞升的尊长突然降下大量恩赐，门派实力大涨。	Dizem que um ancião ascendido da Seita Zixiao de repente concedeu grandes bênçãos; a força da seita aumentou muito.
据传一个隐居深海的小宗门为逃避海中巨妖的威胁而逃往大陆，举派投靠了青莲剑宗，青莲剑宗因此门派实力大增。	Dizem que uma pequena seita isolada no mar profundo fugiu para o continente para escapar da ameaça de um monstro marinho gigante e se uniu à Seita da Espada do Lótus Verde; com isso, a força da Seita da Espada do Lótus Verde aumentou bastante.
据传丹霞洞天的大能霍离在卢山出没。	Dizem que o grande poder Huo Li, de Danxia Dongtian, foi visto no Monte Lu.
据传极天宫的大能皮庆在平顶山出没。	Dizem que o grande poder Pi Qing, do Palácio Jitian, foi visto no Monte Pingtou.
据传青莲剑宗的大能索雅柏在卢山出没。	Dizem que o grande poder Suo Yabo, da Seita da Espada do Lótus Verde, foi visto no Monte Lu.
据传青莲剑宗于五华村击杀凶凤，收获大量宝材灵物，门派实力大涨。	Dizem que a Seita da Espada do Lótus Verde matou uma fênix feroz na Vila Wuhua e obteve muitos materiais preciosos e itens espirituais; a força da seita aumentou muito.
据传栖霞洞天的弟子在合欢派附近游历时，遇到几名合欢派的弟子。双方一言不合，大打出手，最后各有伤亡，含恨收场。此事传出亦在修行界引起一些议论，两派的关系略有恶化。	Dizem que discípulos de Qixia Dongtian, viajando perto da Seita Hehuan, encontraram discípulos de Hehuan. Uma palavra levou à outra e eles lutaram; no fim, houve feridos e mortos de ambos os lados, e tudo terminou com rancor. O caso gerou discussão no mundo do cultivo e a relação entre as duas seitas piorou um pouco.
傀儡：死亡	Marionete: morreu.
需要房间	Precisa de um Quarto
咸元的情绪因为需要房间开始恶化	A emoção de Xian Yuan começou a piorar por precisar de um quarto
熊子石的情绪因为需要房间开始恶化	A emoção de Xiong Zishi começou a piorar por precisar de um quarto
从功的情绪因为需要房间开始恶化	A emoção de Cong Gong começou a piorar por precisar de um quarto
南门墨竹的情绪因为需要房间开始恶化	A emoção de Nanmen Mozhu começou a piorar por precisar de um quarto
韶兴的情绪因为需要房间开始恶化	A emoção de Shao Xing começou a piorar por precisar de um quarto
陶飞的情绪因为需要房间开始恶化	A emoção de Tao Fei começou a piorar por precisar de um quarto
葛慕儿的情绪因为需要房间开始恶化	A emoção de Ge Muer começou a piorar por precisar de um quarto
奚顺的情绪因为需要房间开始恶化	A emoção de Xi Shun começou a piorar por precisar de um quarto
毛依白的情绪因为需要房间开始恶化	A emoção de Mao Yibai começou a piorar por precisar de um quarto
项辉的情绪因为需要房间开始恶化	A emoção de Xiang Hui começou a piorar por precisar de um quarto
凤妹的情绪因为需要房间开始恶化	A emoção de Feng Mei começou a piorar por precisar de um quarto
昌志用的情绪因为需要房间开始恶化	A emoção de Chang Zhiyong começou a piorar por precisar de um quarto
干栋的情绪因为需要房间开始恶化	A emoção de Gan Dong começou a piorar por precisar de um quarto
姬彭亮的情绪因为需要房间开始恶化	A emoção de Ji Pengliang começou a piorar por precisar de um quarto
水雅绿的情绪因为需要房间开始恶化	A emoção de Shui Yalü começou a piorar por precisar de um quarto
郜世的情绪因为需要房间开始恶化	A emoção de Gao Shi começou a piorar por precisar de um quarto
存档写入完成	Salvamento Concluído
理气丹	Pílula de Regulação do Qi
理气丹正在发挥药效	A Pílula de Regulação do Qi está fazendo efeito
赋灵术	Técnica de Infusão Espiritual
五泉涤心法	Método das Cinco Fontes para Purificar a Mente
先天罡气	Qi de Aço Inato
化伤术	Técnica de Cura de Feridas
天霖诀	Arte de Tianlin
天一真法	Verdadeiro Método de Tianyi
水镜观心定	Meditação do Espelho d’Água para Contemplar a Mente
同风诀	Arte do Mesmo Vento
归海诀	Arte do Retorno ao Mar
九阴真水界	Reino da Água Verdadeira dos Nove Yins
罡煞合流	Confluência do Qi de Aço e do Miasma
新境神佑书	Escritura da Proteção Divina do Novo Reino
紫火千钧剑诀	Arte da Espada do Mil-Jin de Fogo Violeta
五方神雷	Trovão Divino das Cinco Direções
紫火落花	Queda de Flores de Fogo Violeta
丁火落花真言	Verdadeiro Mantra da Queda de Flores do Fogo Ding
多宝流光真言	Mantra do Brilho Fluente de Duobao
混元要诀	Instrução Essencial do Caos Primordial
少量的	Um pouco
混元十三式	Treze Formas do Caos Primordial
破灭秘诀	Segredo da Ruína
曳影	Rastro de Sombra
五戒坤元	Cinco Preceitos do Caos Terreno
中量的	Uma quantidade média
御气混元宝典	Manual do Caos Primordial de Controle do Qi
赤炎圆转剑诀	Arte da Espada do Giro Circular de Chama Escarlate
五台混元七式	Sete Formas do Caos Primordial dos Cinco Terraços
三才坤元十三式	Treze Formas do Caos Terreno dos Três Talentos
大量的	Muito
未来星宿千钧宝典	Manual do Mil-Jin das Constelações Futuras
嵩山坤元秘要	Segredos Essenciais do Caos Terreno de Songshan
佛心书	Escritura do Coração de Buda
鄂芸上仙归祖经	Escritura de Retorno ao Ancestral do Imortal E Yun
哈氏神佑秘要	Segredos Essenciais da Proteção Divina da Família Ha
微草神农通卷	Compêndio Completo de Shennong das Ervas Sutis
五内多宝宝典	Manual de Duobao dos Cinco Órgãos
赤月合一秘要	Segredos Essenciais da Unificação da Lua Rubra
五内饕餮神功	Arte Divina do Taotie dos Cinco Órgãos
阴神夺舍	Possessão Menor
冥灵真法	Verdadeiro Método do Espírito Sombrio
天道神丹	Pílula Divina do Dao Celestial
天道神器	Artefato Divino do Dao Celestial
长生圆转剑	Espada do Giro Circular da Longevidade
入定之术	Técnica de Entrar em Meditação
断岳覆天诀	Arte de Cobrir o Céu e Cortar Montanhas
勾陈流光	Brilho Fluente de Gouchen
经之柔上仙金刚咒	Mantra Vajra do Imortal Jing Zhirou
紫薇流光真言	Verdadeiro Mantra do Brilho Fluente de Ziwei
金刚经	Sutra Vajra
奠基宝典	Manual de Fundação
金刚宝典	Manual Vajra
金刚秘册	Grimório Secreto Vajra
东海金刚秘要	Segredos Essenciais Vajra do Mar do Leste
玄关金刚宝典	Manual Vajra do Portal Místico
白虎奠基	Fundação do Tigre Branco
御气金刚	Vajra de Controle do Qi
庚辛金刚密卷	Pergaminho Secreto Vajra de Geng-Xin
断岳奠基秘要	Segredos Essenciais de Fundação de Duanyue
神佑册	Registro da Proteção Divina
辟谷密卷	Pergaminho Secreto de Bigu
五内鲸吞纪要	Resumo do Devorar-Baleia dos Cinco Órgãos
龙虎佛心书	Escritura do Coração de Buda do Dragão e Tigre
阴阳佛心记	Registro do Coração de Buda do Yin-Yang
庚辛清心经	Escritura da Purificação da Mente de Geng-Xin
寒月摄神秘法	Técnica Secreta de Captura da Alma da Lua Fria
海量的	Em grande quantidade
须雅芝上仙清心秘要	Segredos Essenciais de Purificar a Mente do Imortal Xu Yazhi
白虎饕餮要诀	Instrução Essencial do Taotie do Tigre Branco
灵息诀	Arte da Respiração Espiritual
鼎炉吸真术	Técnica de Absorver o Verdadeiro pelo Caldeirão-Forno
再造术	Técnica de Recriação
尘暴术	Técnica de Tempestade de Poeira
求雨术	Técnica de Invocar Chuva
甘霖术	Técnica da Chuva Abençoada
风水鉴定	Avaliação de Feng Shui
太和御气诀	Arte de Controle do Qi da Grande Harmonia
清心咒	Mantra de Purificar a Mente
御木诀	Arte de Controle da Madeira
天水化伤术	Técnica de Cura de Feridas da Água Celestial
采水诀	Arte de Coletar Água
玄牝重生法	Método de Renascimento do Mistério Feminino
乘风诀	Arte de Montar o Vento
奔流诀	Arte da Correnteza
水精真形	Forma Verdadeira da Essência de Água
水气真形	Forma Verdadeira do Qi de Água
水神真形	Forma Verdadeira do Deus da Água
暴雨术	Tempestade de Chuva
玄魂造命	Criação de Vida da Alma Misteriosa
醍醐灌顶之术	Técnica de Iluminação Total
玄金五气真言	Verdadeiro Mantra dos Cinco Qis do Metal Místico
勾陈三花咒	Mantra das Três Flores de Gouchen
紫云宫流光咒	Mantra do Brilho Fluente do Palácio da Nuvem Violeta
奠基经	Escritura de Fundação
金刚要诀	Instrução Essencial Vajra
奠基秘要	Segredos Essenciais de Fundação
玄金奠基秘册	Grimório Secreto de Fundação do Metal Místico
入道奠基经	Escritura de Fundação para Entrar no Dao
庚金金刚	Vajra do Metal Geng
断岳奠基宝典	Manual de Fundação de Duanyue
断岳金刚宝典	Manual Vajra de Duanyue
化形金刚	Vajra de Transformação
辟谷宝典	Manual de Bigu
叶厚上仙神视神功	Arte Divina da Visão Espiritual do Imortal Ye Hou
御气清心经	Escritura de Purificar a Mente de Controle do Qi
赤霄宫合一册	Registro de Unificação do Palácio Chixiao
入道归祖神功	Arte Divina de Retorno ao Ancestral para Entrar no Dao
玄机神视秘要	Segredos Essenciais da Visão Espiritual do Mistério Profundo
归真鲸吞要诀	Instrução Essencial do Devorar-Baleia do Retorno ao Verdadeiro
天魔解体大法	Grande Técnica de Desintegração do Demônio Celestial
炼制灵石之术	Técnica de Refinar Pedras Espirituais
玄机流光真言	Verdadeiro Mantra do Brilho Fluente do Mistério Profundo
金丹流光	Brilho Fluente do Núcleo Dourado
迅影	Sombra Veloz
混元秘法	Técnica Secreta do Caos Primordial
寒月坤元决	Arte do Caos Terreno da Lua Fria
五戒千钧剑诀	Arte da Espada de Mil-Jin dos Cinco Preceitos
彻法混元十式	Dez Formas do Caos Primordial da Lei Completa
多宝通卷	Compêndio Completo de Duobao
百炼秘要	Segredos Essenciais das Cem Refinações
饕餮	Taotie
龙虎鬼手通卷	Compêndio Completo da Mão Fantasma do Dragão e Tigre
真丹多宝	Duobao do Verdadeiro Elixir
三才多宝纲要	Esboço de Duobao dos Três Talentos
六气圆转十三式	Treze Formas do Giro Circular das Seis Energias
献祭	Oferenda de Sacrifício
精火筑灵	Forjar o Espírito com Fogo Essencial
逆浪天星咒	Mantra da Estrela Celestial da Maré Inversa
少林金刚神雷	Trovão Divino Vajra de Shaolin
金刚	Vajra
奠基要诀	Instrução Essencial de Fundação
修蛇金刚宝典	Manual Vajra da Serpente Xiu
五内奠基宝典	Manual de Fundação dos Cinco Órgãos
知节奠基经	Escritura de Fundação de Zhijie
万源归真金刚宝典	Manual Vajra de Retorno ao Verdadeiro das Dez Mil Origens
南海奠基	Fundação do Mar do Sul
紫薇金刚密卷	Pergaminho Secreto Vajra de Ziwei
凌霄奠基秘要	Segredos Essenciais de Fundação de Lingxiao
百汇奠基秘法	Técnica Secreta de Fundação das Cem Convergências
沃野丹方	Receituário de Elixires das Terras Férteis
星辰合一册	Registro de Unificação das Estrelas
壬水合一书	Escritura de Unificação da Água Ren
凌霄合一册	Registro de Unificação de Lingxiao
逆浪清心神功	Arte Divina de Purificar a Mente da Maré Inversa
文盛真人摄神册	Registro de Captura da Alma do Verdadeiro Wen Sheng
百汇佛心	Coração de Buda das Cem Convergências
大衍神算	Cálculo Derivado
分神之术	Técnica de Dividir a Mente
庚金决意秘传	Ensinamento Secreto de Determinação do Metal Geng
赤日三花诀	Arte das Três Flores do Sol Escarlate
奠基密卷	Pergaminho Secreto de Fundação
天金金刚经	Escritura Vajra do Metal Celestial
玄金金刚秘要	Segredos Essenciais Vajra do Metal Místico
龙虎金刚	Vajra do Dragão e Tigre
勾陈奠基	Fundação de Gouchen
百草阁金刚秘法	Técnica Secreta Vajra do Pavilhão das Cem Ervas
饕餮纪要	Resumo do Taotie
多宝	Duobao
阴阳鬼手秘传	Ensinamento Secreto da Mão Fantasma do Yin-Yang
金雷鬼手宝典	Manual da Mão Fantasma do Trovão Dourado
寒月百炼通卷	Compêndio Completo das Cem Refinações da Lua Fria
炎神殿鬼手纲要	Esboço da Mão Fantasma do Templo do Deus das Chamas
御气万古秘要	Segredos Essenciais de Controle do Qi das Dez Mil Eras
阴阳神佑秘要	Segredos Essenciais da Proteção Divina do Yin-Yang
魂体寄生	Parasitismo do Corpo-Alma
武当佛心典	Cânone do Coração de Buda de Wudang
星辰五方	Cinco Direções Estelares
陨星诀	Arte da Estrela Cadente
逆浪不坏真言	Verdadeiro Mantra da Indestrutibilidade da Maré Inversa
曳影七式	Sete Formas do Rastro de Sombra
归祖要诀	Instrução Essencial de Retorno ao Ancestral
勾陈气摄秘法	Técnica Secreta de Absorção de Qi de Gouchen
壬癸神佑	Proteção Divina de Ren-Gui
凝光鬼手宝典	Manual da Mão Fantasma da Luz Condensada
惊波百炼宝册	Grimório de Tesouros das Cem Refinações da Onda Turbulenta
修蛇归祖密卷	Pergaminho Secreto de Retorno ao Ancestral da Serpente Xiu
玄武神视纪要	Resumo da Visão Espiritual da Tartaruga Negra
冷月急诵秘法	Técnica Secreta de Recitação Rápida da Lua Fria
腾岳覆天	Cobrir o Céu de Tengyue
破灭	Ruína
破灭密卷	Pergaminho Secreto da Ruína
气摄宝典	Manual de Absorção de Qi
勾陈决意要诀	Instrução Essencial de Determinação de Gouchen
彻法归祖秘要	Segredos Essenciais de Retorno ao Ancestral da Lei Completa
华山万古神功	Arte Divina das Dez Mil Eras de Huashan
伐毛洗髓之术	Técnica de Purificar Medula e Pele
彻法不朽	Imortalidade da Lei Completa
化形金刚神雷	Trovão Divino Vajra de Transformação
奠基秘册	Grimório Secreto de Fundação
长生金刚秘要	Segredos Essenciais Vajra da Longevidade
黄庭金刚秘法	Técnica Secreta Vajra do Pátio Amarelo
新境奠基经	Escritura de Fundação do Novo Reino
少林金刚经	Escritura Vajra de Shaolin
大日奠基秘要	Segredos Essenciais de Fundação do Grande Sol
佛心秘法	Técnica Secreta do Coração de Buda
合一秘要	Segredos Essenciais da Unificação
长生通慧记	Registro de Sabedoria Ampla da Longevidade
南海佛心典	Cânone do Coração de Buda do Mar do Sul
玄关神农	Shennong do Portal Místico
断岳鲸吞秘要	Segredos Essenciais do Devorar-Baleia de Duanyue
化形神佑典	Cânone da Proteção Divina de Transformação
太乙清心经	Escritura de Purificar a Mente de Taiyi
托体同山诀	Arte de Ancorar o Corpo à Montanha
西海九极咒	Mantra dos Nove Extremos do Mar do Oeste
咒神宝典	Manual do Deus dos Mantras
崩天卷	Pergaminho do Colapso do Céu
多宝秘传	Ensinamento Secreto de Duobao
多宝宝册	Grimório de Duobao
天金摄神册	Registro de Captura da Alma do Metal Celestial
未来星宿百炼秘传	Ensinamento Secreto das Cem Refinações das Constelações Futuras
辛金百炼秘传	Ensinamento Secreto das Cem Refinações do Metal Xin
断岳多宝宝册	Grimório de Duobao de Duanyue
玄机多宝	Duobao do Mistério Profundo
天魔化身术	Técnica de Encarnação do Demônio Celestial
开天眼之术	Técnica de Abrir o Olho Celestial
通符书	Escritura de Talismãs
云气汇流	Confluência de Qi Nublado
剑符录	Registro de Talismãs de Espada
玄符录	Registro de Talismãs Místicos
天甲符	Talismã da Armadura Celestial
咒符录	Registro de Talismãs de Mantra
神咒符	Talismã do Mantra Divino
结云经	Escritura de Condensar Nuvens
祈天经	Escritura de Prece ao Céu
通天符法	Técnica de Talismãs que Alcança o Céu
天真论	Tratado do Verdadeiro Celestial
无上神符	Talismã Divino Supremo
借天符	Talismã de Tomar Emprestado do Céu
遮天符	Talismã de Encobrir o Céu
云行法	Método de Caminhar nas Nuvens
东木分神书	Escritura de Dividir a Mente da Madeira do Leste
天岭金刚真言	Verdadeiro Mantra Vajra de Tianling
戊土八极真言	Verdadeiro Mantra dos Oito Extremos da Terra Wu
归家五方诀	Arte das Cinco Direções do Retorno ao Lar
坤元九极神雷	Trovão Divino dos Nove Extremos do Caos Terreno
千钧十三式	Treze Formas de Mil-Jin
曳影式	Forma do Rastro de Sombra
破灭要诀	Instrução Essencial da Ruína
神农宝典	Manual de Shennong
摄神	Captura da Alma
万里多宝	Duobao de Dez Mil Léguas
五内琢玉通卷	Compêndio Completo de Polir Jade dos Cinco Órgãos
凌霄佛心要诀	Instrução Essencial do Coração de Buda de Lingxiao
己土辟谷要诀	Instrução Essencial de Bigu da Terra Ji
炎神殿通慧要诀	Instrução Essencial de Sabedoria Ampla do Templo do Deus das Chamas
东海神佑要诀	Instrução Essencial da Proteção Divina do Mar do Leste
风月幻境	Ilusão do Vento e da Lua
真丹金刚	Vajra do Verdadeiro Elixir
长生陨星诀	Arte da Estrela Cadente da Longevidade
崩天	Colapso do Céu
急诵秘要	Segredos Essenciais de Recitação Rápida
崩天秘诀	Segredo do Colapso do Céu
华山归藏密卷	Pergaminho Secreto de Retorno e Ocultação de Huashan
摄神册	Registro de Captura da Alma
入道鬼手要诀	Instrução Essencial da Mão Fantasma para Entrar no Dao
多宝神农	Shennong de Duobao
造化饕餮神功	Arte Divina do Taotie da Criação
戊己神佑要诀	Instrução Essencial da Proteção Divina de Wu-Ji
五印刻神	Cinco Selos de Gravar o Espírito
行疆神视秘传	Ensinamento Secreto da Visão Espiritual de Xingjiang
知节金刚咒	Mantra Vajra de Zhijie
现在贤流光真言	Verdadeiro Mantra do Brilho Fluente do Sábio Atual
戊土金刚咒	Mantra Vajra da Terra Wu
急诵	Recitação Rápida
咒神九卷	Nove Pergaminhos do Deus dos Mantras
归祖	Retorno ao Ancestral
通慧册	Registro de Sabedoria Ampla
琢玉通卷	Compêndio Completo de Polir Jade
行疆佛心典	Cânone do Coração de Buda de Xingjiang
东华多宝秘传	Ensinamento Secreto de Duobao de Donghua
和春枫真人神佑典	Cânone da Proteção Divina do Verdadeiro He Chunfeng
玄关合一秘法	Técnica Secreta de Unificação do Portal Místico
真丹佛心册	Registro do Coração de Buda do Verdadeiro Elixir
镇岳鬼手纲要	Esboço da Mão Fantasma de Zhenyue
六气饕餮神功	Arte Divina do Taotie das Seis Energias
驱云诀	Arte de Dispersar Nuvens
行疆陨星咒	Mantra da Estrela Cadente de Xingjiang
阴阳天星咒	Mantra da Estrela Celestial do Yin-Yang
化影神雷	Trovão Divino de Transformar Sombras
迅击要诀	Instrução Essencial de Ataque Veloz
迅影宝典	Manual da Sombra Veloz
迅击决	Arte do Ataque Veloz
千钧密卷	Pergaminho Secreto de Mil-Jin
西海混元	Caos Primordial do Mar do Oeste
神视秘法	Técnica Secreta da Visão Espiritual
麒麟归祖	Retorno ao Ancestral de Qilin
现在贤清心要诀	Instrução Essencial de Purificar a Mente do Sábio Atual
戊己合一要诀	Instrução Essencial de Unificação de Wu-Ji
长生决意	Determinação da Longevidade
班谷云真人奠基经	Escritura de Fundação do Verdadeiro Ban Guyun
焚风术	Técnica do Vento Incinerante
杀意	Intenção Assassina
御剑术	Técnica de Controlar Espadas
天妖化血术	Técnica de Transformar Sangue do Demônio Celestial
七杀魔体	Corpo Demoníaco dos Sete Abates
剑心通明	Coração de Espada Claro e Luminoso
心剑交感	Ressonância Entre Coração e Espada
击字诀	Arte do Caractere “Golpe”
崩字诀	Arte do Caractere “Colapso”
御字诀	Arte do Caractere “Controle”
刺字诀	Arte do Caractere “Estocada”
点字诀	Arte do Caractere “Toque”
化字诀	Arte do Caractere “Transformar”
洗字诀	Arte do Caractere “Purificar”
劈字诀	Arte do Caractere “Cortar”
分字诀	Arte do Caractere “Dividir”
摄神御鬼大法	Grande Técnica de Capturar a Alma e Controlar Fantasmas
神御剑	Espada do Controle Divino
神合剑	Espada da União Divina
魔流剑意	Intenção de Espada do Fluxo Demoníaco
剑灵	Espírito da Espada
秘宝：百灵斩仙剑	Tesouro Secreto: Espada de Cem Espíritos que Corta Imortais
极剑·一	Espada Suprema · I
极剑·二	Espada Suprema · II
极剑·三	Espada Suprema · III
我剑·一	Minha Espada · I
我剑·二	Minha Espada · II
我剑·三	Minha Espada · III
勾陈覆灭诀	Arte de Aniquilação de Gouchen
碧光天星真言	Verdadeiro Mantra da Estrela Celestial de Luz Opalescente
新境金刚神雷	Trovão Divino Vajra do Novo Reino
归藏卷	Pergaminho do Retorno e Ocultação
咒神密卷	Pergaminho Secreto do Deus dos Mantras
妙手	Mãos Habilidosas
咒神七签	Sete Selos do Deus dos Mantras
苍木崩天九卷	Nove Pergaminhos do Colapso do Céu da Madeira Verdejante
龙虎沃野药典	Cânone de Medicina das Terras Férteis do Dragão e Tigre
气摄神功	Arte Divina de Absorção de Qi
妙手丹方	Receituário de Elixires das Mãos Habilidosas
甲乙多宝秘法	Técnica Secreta de Duobao de Jia-Yi
苍木百炼通卷	Compêndio Completo das Cem Refinações da Madeira Verdejante
万木饕餮秘法	Técnica Secreta do Taotie das Dez Mil Madeiras
寒月妙手	Mãos Habilidosas da Lua Fria
少林多宝	Duobao de Shaolin
忘情归祖秘要	Segredos Essenciais de Retorno ao Ancestral do Esquecimento das Emoções
勾陈琢玉秘要	Segredos Essenciais de Polir Jade de Gouchen
金丹不坏真言	Verdadeiro Mantra da Indestrutibilidade do Núcleo Dourado
碧光心光咒	Mantra da Luz do Coração Opalescente
蓄神要诀	Instrução Essencial de Armazenar Espírito
迅影十式	Dez Formas da Sombra Veloz
坤元要诀	Instrução Essencial do Caos Terreno
紫云宫破灭决	Arte da Ruína do Palácio da Nuvem Violeta
过去庄严迅击宝典	Manual do Ataque Veloz da Solenidade do Passado
青龙破灭十式	Dez Formas de Ruína do Dragão Azure
琢玉宝册	Grimório de Tesouros de Polir Jade
多宝要诀	Instrução Essencial de Duobao
青龙多宝通卷	Compêndio Completo de Duobao do Dragão Azure
苍木多宝通卷	Compêndio Completo de Duobao da Madeira Verdejante
玄机百炼宝册	Grimório de Tesouros das Cem Refinações do Mistério Profundo
苍莽百炼秘传	Ensinamento Secreto das Cem Refinações do Ermo Vastíssimo
甲乙百炼秘法	Técnica Secreta das Cem Refinações de Jia-Yi
过去庄严辟谷纪要	Resumo de Bigu da Solenidade do Passado
灵犀咒	Mantra da Conexão Espiritual
嵩山流光	Brilho Fluente de Songshan
太乙不朽诀	Arte da Imortalidade de Taiyi
彻法天星神雷	Trovão Divino da Estrela Celestial da Lei Completa
入道心光	Luz do Coração para Entrar no Dao
迅影秘诀	Segredo da Sombra Veloz
蓄神剑	Espada de Armazenar Espírito
圆转宝典	Manual do Giro Circular
修蛇破灭七式	Sete Formas de Ruína da Serpente Xiu
百汇混元秘法	Técnica Secreta do Caos Primordial das Cem Convergências
黄庭混元	Caos Primordial do Pátio Amarelo
五戒千钧七式	Sete Formas de Mil-Jin dos Cinco Preceitos
大日曳影秘要	Segredos Essenciais do Rastro de Sombra do Grande Sol
彻法咒神七签	Sete Selos do Deus dos Mantras da Lei Completa
归祖秘传	Ensinamento Secreto de Retorno ao Ancestral
鬼手秘传	Ensinamento Secreto da Mão Fantasma
黄庭鬼手秘传	Ensinamento Secreto da Mão Fantasma do Pátio Amarelo
初解鲸吞神功	Arte Divina do Devorar-Baleia: Primeira Compreensão
修蛇琢玉通卷	Compêndio Completo de Polir Jade da Serpente Xiu
耿雅柔上仙沃野丹方	Receituário de Elixires das Terras Férteis do Imortal Geng Yarou
惊波决意神功	Arte Divina de Determinação da Onda Turbulenta
玄机金钟咒	Mantra do Sino Dourado do Mistério Profundo
过去庄严落花咒	Mantra da Queda de Flores da Solenidade do Passado
迅击密卷	Pergaminho Secreto do Ataque Veloz
圆转剑诀	Arte da Espada do Giro Circular
坤元十三式	Treze Formas do Caos Terreno
混元七式	Sete Formas do Caos Primordial
炽凰破灭十三式	Treze Formas de Ruína da Fênix Abrasadora
紫云宫迅影十式	Dez Formas da Sombra Veloz do Palácio da Nuvem Violeta
真丹破灭宝典	Manual da Ruína do Verdadeiro Elixir
赤炎蓄神剑	Espada de Armazenar Espírito de Chama Escarlate
神视秘传	Ensinamento Secreto da Visão Espiritual
合一册	Registro de Unificação
赤月神农通卷	Compêndio Completo de Shennong da Lua Rubra
丙丁通慧书	Escritura de Sabedoria Ampla de Bing-Ding
朱雀摄神记	Registro de Captura da Alma do Pássaro Vermelho
炽凰摄神宝典	Manual de Captura da Alma da Fênix Abrasadora
御气佛心记	Registro do Coração de Buda de Controle do Qi
御气佛心书	Escritura do Coração de Buda de Controle do Qi
东华琢玉密卷	Pergaminho Secreto de Polir Jade de Donghua
邓妍真人合一典	Cânone de Unificação do Verdadeiro Deng Yan
六壬神算	Previsão Astrológica
八门玄金天劫剑阵	Formação de Espadas da Tribulação Celestial do Metal Místico das Oito Portas
修蛇通天	Alcançar o Céu da Serpente Xiu
大日金钟神雷	Trovão Divino do Sino Dourado do Grande Sol
破灭宝典	Manual da Ruína
急诵密卷	Pergaminho Secreto de Recitação Rápida
咒神卷	Pergaminho do Deus dos Mantras
嵩山咒神	Deus dos Mantras de Songshan
新境神佑	Proteção Divina do Novo Reino
百汇崩天	Colapso do Céu das Cem Convergências
长青纪要	Resumo da Eterna Verde
凝光琢玉通卷	Compêndio Completo de Polir Jade da Luz Condensada
道基辟谷秘传	Ensinamento Secreto de Bigu da Base do Dao
南海归祖纪要	Resumo de Retorno ao Ancestral do Mar do Sul
紫云宫万古	Dez Mil Eras do Palácio da Nuvem Violeta
癸水归祖	Retorno ao Ancestral da Água Gui
六气合一	Unificação das Seis Energias
天心正法	Lei Correta do Coração Celestial
周天神算	Previsão Universal
新境崩天	Colapso do Céu do Novo Reino
未命名配置	Configuração sem Nome
一字长蛇阵	Formação da Serpente Longa de Um Caractere
传闻此阵以八门之理成阵，进可杀伐，退可护身，非常玄妙。	Dizem que esta formação é construída com os princípios das Oito Portas; avançando, pode matar e atacar; recuando, pode proteger o corpo — é extremamente profunda e misteriosa.
成阵	Formar a Formação
