拜祖师	Culto aos ancestrais
魔流剑意	Intenção da Espada Demoníaca Fluente
剑灵	Espírito da Espada
秘宝：百灵斩仙剑	Tesouro Secreto: Espada Cortadora de Imortais Bailin
极剑·一	Espada Suprema · Um
极剑·二	Espada Suprema · Dois
极剑·三	Espada Suprema · Três
我剑·一	Minha Espada · Um
我剑·二	Minha Espada · Dois
我剑·三	Minha Espada · Três
勾陈覆灭诀	Técnica da Aniquilação de Gou Chen
碧光天星真言	Verdadeiro Feitiço da Estrela Celestial de Biguang
新境金刚神雷	Trovão Divino do Diamante do Novo Reinado
归藏卷	Volume do Retorno e Armazenamento
咒神密卷	Volume Secreto do Deus dos Feitiços
妙手	Mãos Habilidosas
咒神七签	As Sete Assinaturas do Deus dos Feitiços
苍木崩天九卷	Nove Volumes da Ruptura Celestial da Madeira Azul
龙虎沃野药典	Farmacopéia dos Campos Férteis do Dragão e Tigre
气摄神功	Arte Divina da Absorção do Qi
妙手丹方	Fórmula Medicinal das Mãos Habilidosas
甲乙多宝秘法	Técnica Secreta dos Muitos Tesouros Jia-Yi
苍木百炼通卷	Compêndio da Centena de Fornalhas da Madeira Azul
万木饕餮秘法	Técnica Secreta Voraz das Dez Mil Árvores
寒月妙手	Mãos Habilidosas da Lua Fria
少林多宝	Muitos Tesouros de Shaolin
忘情归祖秘要	Segredo Essencial do Retorno Ancestral Sem Emoções
勾陈琢玉秘要	Segredo Essencial da Lapidação de Jade de Gou Chen
金丹不坏真言	Verdadeiro Feitiço da Indestrutibilidade do Elixir Dourado
碧光心光咒	Feitiço da Luz do Coração de Biguang
蓄神要诀	Essência do Segredo da Acumulação Espiritual
迅影十式	As Dez Formas da Sombra Veloz
坤元要诀	Essência do Segredo de Kun Yuan
紫云宫破灭决	Técnica da Aniquilação do Palácio Ziyun
过去庄严迅击宝典	Compêndio do Golpe Rápido da Majestade do Passado
青龙破灭十式	As Dez Formas da Aniquilação do Dragão Azul
琢玉宝册	Livro Precioso da Lapidação de Jade
多宝要诀	Essência do Segredo dos Muitos Tesouros
青龙多宝通卷	Compêndio dos Muitos Tesouros do Dragão Azul
苍木多宝通卷	Compêndio dos Muitos Tesouros da Madeira Azul
玄机百炼宝册	Livro Precioso da Centena de Fornalhas do Mistério
苍莽百炼秘传	Tradição Secreta da Centena de Fornalhas da Vastidão Azul
甲乙百炼秘法	Técnica Secreta da Centena de Fornalhas Jia-Yi
过去庄严辟谷纪要	Registros da Dieta de Jejum da Majestade do Passado
灵犀咒	Feitiço da Conexão Espiritual
嵩山流光	Fluxo de Luz de Songshan
太乙不朽诀	Técnica da Imortalidade de Taiyi
彻法天星神雷	Trovão Divino da Estrela Celestial do Método Absoluto
入道心光	Luz do Coração da Iniciação
迅影秘诀	Segredo da Sombra Veloz
蓄神剑	Espada da Acumulação Espiritual
圆转宝典	Compêndio da Rotação Circular
修蛇破灭七式	As Sete Formas da Aniquilação da Serpente Cultivada
百汇混元秘法	Técnica Secreta do Caos Primordial dos Muitos Tesouros
黄庭混元	Caos Primordial do Pavilhão Amarelo
五戒千钧七式	As Sete Formas dos Mil Quilos dos Cinco Mandamentos
大日曳影秘要	Segredo Essencial da Sombra Arrastada do Grande Sol
彻法咒神七签	As Sete Assinaturas do Deus dos Feitiços do Método Absoluto
归祖秘传	Tradição Secreta do Retorno aos Antepassados
鬼手秘传	Tradição Secreta das Mãos Fantasmagóricas
黄庭鬼手秘传	Tradição Secreta das Mãos Fantasmagóricas do Pavilhão Amarelo
初解鲸吞神功	Arte Divina da Engolida Inicial
修蛇琢玉通卷	Compêndio da Lapidação de Jade da Serpente Cultivada
耿雅柔上仙沃野丹方	Fórmula Medicinal dos Campos Férteis do Imortal Superior Geng Yajou
惊波决意神功	Arte Divina da Determinação das Ondas Surpreendentes
玄机金钟咒	Feitiço do Sino Dourado do Mistério
过去庄严落花咒	Feitiço da Queda de Flores da Majestade do Passado
迅击密卷	Volume Secreto do Golpe Rápido
圆转剑诀	Técnica da Espada da Rotação Circular
坤元十三式	As Treze Formas de Kun Yuan
混元七式	As Sete Formas do Caos Primordial
炽凰破灭十三式	As Treze Formas da Aniquilação da Fênix Ardente
紫云宫迅影十式	As Dez Formas da Sombra Veloz do Palácio Ziyun
真丹破灭宝典	Compêndio da Aniquilação do Elixir Verdadeiro
赤炎蓄神剑	Espada da Acumulação Espiritual da Chama Escarlate
神视秘传	Tradição Secreta da Visão Divina
合一册	Livro da União
赤月神农通卷	Compêndio de Shennong da Lua Escarlate
丙丁通慧书	Livro da Compreensão Bing-Ding
朱雀摄神记	Registros da Captura Espiritual da Fênix Vermelha
炽凰摄神宝典	Compêndio da Captura Espiritual da Fênix Ardente
御气佛心记	Registros do Coração Budista da Maestria do Qi
御气佛心书	Livro do Coração Budista da Maestria do Qi
东华琢玉密卷	Volume Secreto da Lapidação de Jade de Donghua
邓妍真人合一典	Clássico da União do Verdadeiro Cultivador Deng Yan
六壬神算	Previsão Astrológica de Liu Ren
八门玄金天劫剑阵	Formação da Espada Celestial das Oito Portas de Xuanjin
一字长蛇阵	Formação da Serpente em Linha Única
传闻此阵以八门之理成阵，进可杀伐，退可护身，非常玄妙。	Dizem que essa formação segue os princípios das Oito Portas, podendo atacar e destruir ou recuar e proteger, sendo extremamente misteriosa.
配置教学	Treinamento de Configuração da Formação
