拜祖师	Adoração aos Ancestrais
秘宝：百灵斩仙剑	Tesouro Secreto: Espada Bai Ling de Cortar Imortais
极剑·一	Espada Extrema · I
极剑·二	Espada Extrema · II
极剑·三	Espada Extrema · III
我剑·一	Minha Espada · I
我剑·二	Minha Espada · II
我剑·三	Minha Espada · III
勾陈覆灭诀	Segredo da Aniquilação de Gouchén
碧光天星真言	Mantra da Estrela Celestial de Luz Verde
新境金刚神雷	Trovão Divino do Diamante do Novo Reino
归藏卷	Volume do Retorno à Conservação
咒神密卷	Manual Secreto do Deus dos Feitiços
妙手	Mãos Habilidosas
咒神七签	Sete Selos do Deus dos Feitiços
苍木崩天九卷	Nove Volumes do Colapso Celestial da Madeira Ancestral
龙虎沃野药典	Compêndio de Ervas dos Campos Férteis do Dragão e do Tigre
气摄神功	Técnica da Captura do Qi Divino
妙手丹方	Fórmula da Pílula das Mãos Habilidosas
甲乙多宝秘法	Método Secreto dos Muitos Tesouros de Jia e Yi
苍木百炼通卷	Manual Completo das Cem Refinarias da Madeira Ancestral
万木饕餮秘法	Método Secreto do Taotie de Todas as Árvores
寒月妙手	Mãos Habilidosas da Lua Fria
少林多宝	Muitos Tesouros de Shaolin
忘情归祖秘要	Segredo do Retorno à Origem com Desapego
勾陈琢玉秘要	Segredo da Lapidação do Jade de Gouchén
金丹不坏真言	Mantra da Pílula Dourada Inquebrável
碧光心光咒	Feitiço da Luz do Coração Verde
蓄神要诀	Segredo da Acumulação do Espírito
迅影十式	Dez Formas da Sombra Veloz
坤元要诀	Segredo do Kun Yuan
紫云宫破灭决	Decisão da Destruição do Palácio da Nuvem Roxa
过去庄严迅击宝典	Compêndio da Investida Veloz da Grandeza Passada
青龙破灭十式	Dez Formas da Destruição do Dragão Azul
琢玉宝册	Livro do Tesouro da Lapidação do Jade
多宝要诀	Segredo dos Muitos Tesouros
青龙多宝通卷	Manual Completo dos Muitos Tesouros do Dragão Azul
苍木多宝通卷	Manual Completo dos Muitos Tesouros da Madeira Ancestral
玄机百炼宝册	Livro dos Tesouros das Cem Refinarias do Mistério Celestial
苍莽百炼秘传	Segredo das Cem Refinarias da Selva Imensa
甲乙百炼秘法	Método Secreto das Cem Refinarias de Jia e Yi
过去庄严辟谷纪要	Resumo do Jejum Solene do Passado
灵犀咒	Feitiço do Coração Ligado
嵩山流光	Luz Fluente do Monte Song
太乙不朽诀	Segredo da Imortalidade de Taiyi
彻法天星神雷	Trovão Divino da Estrela Celestial da Lei Absoluta
入道心光	Luz do Coração da Iniciação
迅影秘诀	Segredo da Sombra Veloz
蓄神剑	Espada da Acumulação Espiritual
圆转宝典	Compêndio da Rotação Circular
修蛇破灭七式	Sete Formas de Destruição da Cobra Cultivadora
百汇混元秘法	Método Secreto do Caos Primordial Baihui
黄庭混元	Caos Primordial do Pátio Amarelo
五戒千钧七式	Sete Formas dos Mil Jun dos Cinco Preceitos
大日曳影秘要	Segredo da Sombra Arrastada do Grande Sol
彻法咒神七签	Sete Selos do Deus dos Feitiços da Lei Absoluta
归祖秘传	Tradição Secreta do Retorno à Origem
鬼手秘传	Tradição Secreta da Mão Fantasma
黄庭鬼手秘传	Tradição Secreta da Mão Fantasma do Pátio Amarelo
初解鲸吞神功	Primeira Compreensão da Técnica Divina da Engolidora de Baleias
修蛇琢玉通卷	Manual Completo da Lapidação do Jade da Cobra Cultivadora
耿雅柔上仙沃野丹方	Fórmula da Pílula dos Campos Férteis da Imortal Geng Yajou
惊波决意神功	Técnica Divina da Determinação da Onda Surpresa
玄机金钟咒	Feitiço do Sino Dourado do Mistério Celestial
过去庄严落花咒	Feitiço da Flor Caindo Solene do Passado
迅击密卷	Manual Secreto da Investida Veloz
圆转剑诀	Técnica da Espada Circular
坤元十三式	Treze Formas de Kun Yuan
混元七式	Sete Formas do Caos Primordial
炽凰破灭十三式	Treze Formas da Destruição da Fênix Flamejante
紫云宫迅影十式	Dez Formas da Sombra Veloz do Palácio da Nuvem Roxa
真丹破灭宝典	Compêndio da Destruição da Pílula Verdadeira
赤炎蓄神剑	Espada da Acumulação Espiritual da Chama Vermelha
神视秘传	Tradição Secreta da Visão Divina
合一册	Compêndio da União
赤月神农通卷	Manual Completo de Shennong da Lua Vermelha
丙丁通慧书	Livro da Compreensão de Bing e Ding
朱雀摄神记	Registro da Captura Espiritual do Pássaro Vermelho
炽凰摄神宝典	Compêndio da Captura Espiritual da Fênix Flamejante
御气佛心记	Registro do Coração Búdico de Controle do Qi
御气佛心书	Livro do Coração Búdico de Controle do Qi
东华琢玉密卷	Manual Secreto da Lapidação do Jade de Donghua
邓妍真人合一典	Clássico da União do Imortal Deng Yan
六壬神算	Previsão Astrológica Liu Ren
八门玄金天劫剑阵	Formação da Espada Celestial do Tributo Dourado das Oito Portas
未命名配置	Configuração Sem Nome
一字长蛇阵	Formação da Cobra Longa em Linha
传闻此阵以八门之理成阵，进可杀伐，退可护身，非常玄妙。	Diz-se que essa formação é composta pelos princípios das Oito Portas, permitindo avanço ofensivo e defesa ao recuar, sendo extremamente misteriosa.
成阵	Formação Completa
