拜祖师	Adorar os ancestrais
大日曳影秘要	Essenciais Secretos da Sombra Arrastada do Grande Sol
彻法咒神七签	Sete Talismãs do Deus dos Encantamentos da Purificação
归祖秘传	Tradição Secreta do Retorno aos Ancestrais
鬼手秘传	Tradição Secreta da Mão Fantasma
黄庭鬼手秘传	Tradição Secreta da Mão Fantasma do Pátio Amarelo
初解鲸吞神功	Técnica Inicial da Devoradora de Baleias
修蛇琢玉通卷	Tomo Completo do Lapidamento da Jade da Serpente Cultivada
耿雅柔上仙沃野丹方	Fórmula Médica dos Campos Férteis do Imortal Geng Yarou
惊波决意神功	Técnica Divina da Determinação das Ondas Surpreendentes
玄机金钟咒	Mantra do Sino Dourado Misterioso
过去庄严落花咒	Encantamento das Flores Caídas Solenes do Passado
迅击密卷	Rolo Secreto do Golpe Rápido
圆转剑诀	Técnica da Espada da Circulação Perfeita
坤元十三式	Treze Formas de Kunyuan
混元七式	Sete Formas da Unificação Primordial
炽凰破灭十三式	Treze Formas de Aniquilação da Fênix Incandescente
紫云宫迅影十式	Dez Formas da Sombra Veloz do Palácio das Nuvens Roxas
真丹破灭宝典	Manual de Aniquilação do Elixir Verdadeiro
赤炎蓄神剑	Espada do Acúmulo Espiritual da Chama Rubra
神视秘传	Tradição Secreta da Visão Divina
合一册	Tomo da Unificação
赤月神农通卷	Tomo Completo do Deus da Agricultura da Lua Vermelha
丙丁通慧书	Livro da Sabedoria Acessível de Bing e Ding
朱雀摄神记	Registro da Captura Divina do Pássaro Vermelho
炽凰摄神宝典	Manual da Captura Divina da Fênix Incandescente
御气佛心记	Registro do Controle do Qi e do Coração de Buda
御气佛心书	Livro do Controle do Qi e do Coração de Buda
东华琢玉密卷	Rolo Secreto do Lapidamento da Jade do Leste Huá
邓妍真人合一典	Clássico da Unificação do Mestre Dèng Yán
六壬神算	Astrologia das Seis Linhas Divinatórias
八门玄金天劫剑阵	Formação da Espada do Juízo Celestial do Ouro Misterioso das Oito Portas
未命名配置	Configuração Sem Nome
一字长蛇阵	Formação da Serpente Longa em Linha Reta
传闻此阵以八门之理成阵，进可杀伐，退可护身，非常玄妙。	Diz-se que esta formação é baseada no princípio das Oito Portas, podendo atacar ao avançar e proteger ao recuar, sendo extremamente misteriosa.
成阵	Formar a Formação
