拜祖师	Venerando os ancestrais
戊己合一要诀	Técnica Secreta da União de Wù e Jǐ
长生决意	Técnica de Determinação da Vida Eterna
班谷云真人奠基经	Sutra Fundacional do Imortal Ban Gu Yun
焚风术	Técnica do Fogo do Vento
杀意	Intenção de Matar
御剑术	Técnica de Controle da Espada
天妖化血术	Técnica da Transformação do Sangue do Demônio Celestial
七杀魔体	Corpo Demoníaco dos Sete Mortes
剑心通明	Coração Claro da Espada
心剑交感	Conexão do Coração com a Espada
击字诀	Técnica do Golpe de Palavra
崩字诀	Técnica da Palavra de Destruição
御字诀	Técnica da Palavra de Comando
刺字诀	Técnica da Palavra de Perfuração
点字诀	Técnica da Palavra de Ponto
化字诀	Técnica da Palavra de Transformação
洗字诀	Técnica da Palavra de Limpeza
劈字诀	Técnica da Palavra de Corte
分字诀	Técnica da Palavra de Divisão
摄神御鬼大法	Grande Técnica de Controle da Mente e Comando dos Demônios
神御剑	Espada Divina de Comando
神合剑	Espada Divina da União
魔流剑意	Intenção de Espada da Corrente Demoníaca
剑灵	Espírito da Espada
秘宝：百灵斩仙剑	Tesouro Secreto: Espada das Cem Almas que Mata Imortais
极剑·一	Espaada Extrema - Um
极剑·二	Espaada Extrema - Dois
极剑·三	Espaada Extrema - Três
我剑·一	Espaada Minha - Um
我剑·二	Espaada Minha - Dois
我剑·三	Espaada Minha - Três
勾陈覆灭诀	Técnica da Aniquilação de Goushen
碧光天星真言	Verdadeiro Feitiço da Estrela Celestial da Luz Esmeralda
新境金刚神雷	Relâmpago Divino do Diamante do Novo Reino
归藏卷	Rolo do Retorno e Armazenamento
咒神密卷	Rolo Secreto dos Feitiços Divinos
妙手	Mãos Hábiles
咒神七签	Sete Sinais dos Feitiços Divinos
苍木崩天九卷	Nove Rolos da Quebra do Céu da Madeira Anciã
龙虎沃野药典	Manual de Ervas do Dragão e Tigre do Campo Fértil
气摄神功	Técnica Divina de Captura do Qi
妙手丹方	Fórmula de Pílula das Mãos Hábiles
甲乙多宝秘法	Técnica Secreta do Tesouro Incontável de Jia e Yi
苍木百炼通卷	Rolo Completo da Forja da Madeira Anciã
万木饕餮秘法	Técnica Secreta do Devorador Insaciável das Dez Mil Árvores
寒月妙手	Manos Hábiles da Lua Fria
少林多宝	Tesouro Incontável de Shaolin
忘情归祖秘要	Pontos Secretos do Retorno aos Ancestrais Sem Sentimentos
勾陈琢玉秘要	Pontos Secretos do Polimento do Jade de Goushen
金丹不坏真言	Verdadeiro Feitiço da Pílula Dourada Inquebrável
碧光心光咒	Feitiço da Luz Verde do Coração
蓄神要诀	Técnica Secreta de Armazenamento de Mente
迅影十式	Dez Estilos da Sombra Rápida
坤元要诀	Técnica Secreta de Kunyuan
紫云宫破灭决	Técnica da Aniquilação do Palácio Zi Yun
过去庄严迅击宝典	Manual da Ataque Rápido da Grandeza do Passado
青龙破灭十式	Dez Estilos de Aniquilação do Dragão Verde
琢玉宝册	Livro do Polimento do Jade
多宝要诀	Técnica Secreta do Tesouro Incontável
青龙多宝通卷	Rolo Completo do Tesouro Incontável do Dragão Verde
苍木多宝通卷	Rolo Completo do Tesouro Incontável da Madeira Anciã
玄机百炼宝册	Livro das Cem Forjas Misteriosas
苍莽百炼秘传	Transmissão Secreta das Cem Forjas da Grande Floresta
甲乙百炼秘法	Técnica Secreta das Cem Forjas de Jia e Yi
过去庄严辟谷纪要	Resumo da Técnica de Fechamento de Estômago da Grandeza do Passado
灵犀咒	Feitiço do Coração Espiritual
嵩山流光	Luz Fluente da Montanha Song
太乙不朽诀	Técnica da Imortalidade de Taiyi
彻法天星神雷	Relâmpago Divino da Estrela Celestial da Técnica Completa
入道心光	Luz do Coração do Caminho
迅影秘诀	Segredo da Sombra Rápida
蓄神剑	Espada de Armazenamento de Mente
圆转宝典	Manual da Transformação Cíclica
修蛇破灭七式	Sete Estilos da Aniquilação da Serpente
百汇混元秘法	Técnica Secreta de Hunyuan de Baihui
黄庭混元	Chaos Primordial do Salão Amarelo
五戒千钧七式	Sete Estilos dos Cinco Preceitos do Peso de Mil Qún
大日曳影秘要	Pontos Secretos da Técnica de Sombra do Grande Sol
彻法咒神七签	Sete Sinais dos Feitiços Divinos da Técnica Completa
归祖秘传	Transmissão Secreta do Retorno aos Ancestrais
鬼手秘传	Transmissão Secreta das Mãos Demoníacas
黄庭鬼手秘传	Transmissão Secreta das Mãos Demoníacas do Salão Amarelo
初解鲸吞神功	Técnica Divina do Devoramento de Baleia Inicial
修蛇琢玉通卷	Rolo Completo do Polimento de Jade da Serpente
耿雅柔上仙沃野丹方	Fórmula de Pílula do Imortal Elegante Geng Ya Rou
惊波决意神功	Poder Divino da Onda Surpreendente com Determinação
玄机金钟咒	Feitiço do Sino Dourado Misterioso
过去庄严落花咒	Feitiço das Flores Caídas da Grandeza do Passado
迅击密卷	Rolo Secreto do Golpe Rápido
圆转剑诀	Técnica da Espada da Transformação Cíclica
坤元十三式	Treze Estilos de Kunyuan
混元七式	Sete Estilos de Hunyuan
炽凰破灭十三式	Treze Estilos de Aniquilação da Fênix Ardente
紫云宫迅影十式	Dez Estilos de Sombra Rápida do Palácio Zi Yun
真丹破灭宝典	Manual da Aniquilação da Pílula Verdadeira
赤炎蓄神剑	Espada de Armazenamento de Mente da Chama Vermelha
神视秘传	Transmissão Secreta da Visão Divina
合一册	Livro da União
赤月神农通卷	Rolo Completo do Tesouro Incontável do Deus Agrícola da Lua Vermelha
丙丁通慧书	Livro da Sabedoria de Bing e Ding
朱雀摄神记	Registro de Captura da Mente do Pássaro Vermelho
炽凰摄神宝典	Manual de Captura da Mente da Fênix Ardente
御气佛心记	Registro do Coração do Buda de Comando de Qi
御气佛心书	Livro do Coração do Buda de Comando de Qi
东华琢玉密卷	Rolo Secreto do Polimento de Jade de Donghua
邓妍真人合一典	Livro da União do Imortal Deng Yan
六壬神算	Adivinhação Astrológica de Liuren
八门玄金天劫剑阵	Formação do Array da Espada dos Oito Portões do Calamidade Celestial de Xuangjin
未命名配置	Configuração Sem Nome
一字长蛇阵	Formação da Longa Serpente com uma Palavra
传闻此阵以八门之理成阵，进可杀伐，退可护身，非常玄妙.	Diz-se que esta formação usa o princípio dos Oito Portões, podendo ser usada para atacar ou se proteger, sendo extremamente misteriosa.
成阵	Formação Completa
